20069 1966 2011
20087 1985 2011
20292 1966 2011
20476 1966 2011
20667 1966 2011
20674 1966 2011
20744 1967 2011
20891 1966 2012
20982 1966 2005
21432 1966 2012
21931 1969 2009
21946 1966 2010
21982 1966 2011
22113 1966 2011
22165 1974 2012
22217 1966 2012
22235 1966 2009
22471 1984 2012
22520 1984 2011
22550 1966 2011
22619 1984 2011
22641 1966 2010
22676 1966 2011
22768 1966 2011
22802 1966 2012
22820 1973 2011
22837 1966 2011
23022 1966 2012
23032 1966 2011
23058 1967 2011
23074 1972 2010
23205 1984 2012
23242 1966 2011
23256 1966 2012
23274 1966 2010
23324 1966 2011
23330 1973 2012
23405 1966 2011
23445 1966 2010
23472 1966 2012
23552 1985 2012
23631 1966 2012
23662 1972 2010
23711 1966 2011
23724 1966 2010
23734 1966 2012
23867 1967 2011
23914 1971 2012
23921 1966 2012
23933 1966 2011
23955 1966 2010
23986 1967 2002
25062 1966 2010
25173 1966 2011
25282 1967 2011
25378 1977 2011
25399 1977 2011
25563 1966 2010
25594 1966 2005
25677 1966 2011
25927 1966 2012
25932 1966 1992
26063 1966 2011
27459 1966 2011
27823 1966 2012
27857 1966 2011
27995 1966 2012
28009 1966 2011
28064 1985 2002
28138 1966 2011
28224 1966 2012
28255 1966 2012
28275 1973 2012
28418 1966 2011
28434 1966 2010
28493 1966 2011
28552 1966 2010
28573 1966 2011
28666 1966 2010
28698 1966 2010
28704 1966 2011
28722 1966 2011
28748 1966 2010
29111 1966 2011
29231 1966 2009
29313 1966 2010
29328 1966 2010
29612 1966 2010
29645 1967 2003
29752 1972 2011
29866 1967 2011
29939 1966 2011
31088 1966 2010
31168 1966 2012
31770 1969 2011
31960 1966 2010
31961 1966 2002
32061 1986 2010
32076 1969 1994
32098 1966 2012
32099 1966 2011
32150 1976 2011
32165 1986 2012
32389 1966 2010
32477 1968 2000
32509 1966 2011
32562 1967 2003
34110 1966 2012
34123 1966 2012
34152 1966 2012
34163 1966 2012
34186 1966 2012
34579 1966 2011
34720 1966 2012
34740 1966 2012
34866 1966 2012
34880 1966 2012
34927 1967 2012
34949 1975 2012
35011 1966 2012
37001 1968 2012
37061 1966 2012
37126 1966 2011
37228 1982 2012
37470 1973 2012
37472 1966 2012
