23472 B   13  15  20  33  59  44  31  27  12  12  16  13  133
23472 D    1   5  14  27  37  28  26  26  15   7   3   0  128
23472 Q    2   8  24  45  73  81  65  58  31  12   5   1  205
23472 S'   1   8  28  42  80  83  71  61  27   9   3   1  165
23552 B   16  15  18  34  59  44  34  27  17  15  20  19  135
23552 D    3   6  18  28  48  41  29  24  14  10   4   2  124
23552 Q    3   8  27  52  77  74  78  57  31  18   4   2  206
23552 S'   1   7  27  41  69  85  81  52  28  12   2   1  176
23955 B   17  24  14  47  29  38  40  26  12  10  12  14  126
23955 D    3   7  15  31  24  26  29  21  12   9   7   2   96
23955 Q    4   9  23  42  57  71  70  51  34  15  10   2  152
23955 S'   4  13  30  43  59  76  84  57  33  14   5   1  171
24382 B   11  12  36  68  36  47  29  29  21  18  17   8  151
24382 D    9  14  26  20  21  23  24  29  16  11   7   7  125
24382 Q    1   5  13  23  51  44  47  42  22   8   2   0  148
24382 S'  19  29  39  44  45  66  81  65  41  27  16  11  195
24507 B   12  23  29  58  41  41  42  31  21  13  17  14   88
24507 D    9  16  21  31  31  28  28  27  18  12   8   8  153
24507 Q    1   7  21  42  61  66  55  50  25  13   5   1  148
24507 S'   2   7  31  41  61  64  72  54  26   7   3   0  121
24817 B   17  22  18  27  42  43  46  36  21  15  17  14  162
24817 D    5  10  18  25  28  31  36  24  15  11   5   6  123
24817 Q    5  15  34  50  61  73  72  50  37  18   6   6  241
24817 S'   3  14  34  43  52  77  83  47  37  16   6   0  189
24908 B   12  14  21  39  39  27  37  32  21  16  16  14  132
24908 D    3   7  17  25  24  29  31  26  15  10   7   2  134
24908 Q    4  11  27  42  52  52  64  59  44  15  11   2  178
24908 S'   3  13  36  45  51  60  73  54  45  14   6   2  141
25138 B   10  13  13  39  61  39  40  30  16  12  18  15  112
25138 D    2   8  15  31  47  37  31  18  15   9   4   0  135
25138 Q    2   9  16  35  75  77  89  58  30  10   4   0  229
25138 S'   0   5  22  52  87  92  96  63  28   9   0   0  225
25551 B   11  12  16  17  61  42  35  30  13  14  14  10  101
25551 D    3   6  18  29  44  43  33  24  15   8   3   1  138
25551 Q    3   9  25  33  71  74  71  52  34  19   5   1  220
25551 S'   1  10  33  45  90  90  83  61  32  16   4   1  223
27823 B   19  21  26  36  51  43  51  38  28  16  17  14  199
27823 D    9  18  30  29  37  38  32  28  18  12  15   9  169
27823 Q   14  31  55  61  82  70  79  62  46  27  22  13  238
27823 S'   9  25  42  56  81  74  81  55  46  24  13   7  217
29263 B   10  14  18  47  28  40  32  29  21  11   9  10  114
29263 D    4   7  20  29  25  24  25  22  13  11   4   2  115
29263 Q    4  10  25  49  54  57  55  51  39  17   5   3  138
29263 S'   4  14  37  54  58  65  67  54  40  16   6   3  160
30252 B    7  12  26  27  34  39  40  33  16  11  13   8  102
30252 D   11   8  16  24  26  29  31  19  17  11  14   5  123
30252 Q   13  14  29  33  53  67  63  52  33  17  17   5  187
30252 S'   3  14  33  33  46  68  76  55  33  17   6   2  132
30554 B   17  21  48  45  36  41  48  30  20  23  15  21  207
30554 D    6  10  17  30  25  28  36  18  18  13   9   9  144
30554 Q    8  12  24  38  53  68  83  57  42  24  13  15  263
30554 S'   9  15  26  46  50  65  76  54  42  23  10   8  212
30758 B   15  19  25  24  34  33  32  29  16  17  14  13  140
30758 D    6  10  17  21  21  25  22  23  18   9   6   5  109
30758 Q    9  14  21  40  47  55  49  51  35  19  10   7  147
30758 S'  18  26  50  52  63  52  55  40  23  11   8 170  170
30965 B   15  22  25  23  29  34  39  45  23  17  16  14  111
30965 D   11  16  20  27  22  21  28  29  17  14   8   9  139
30965 Q    8  12  20  34  46  61  59  60  45  27  10   6  269
30965 S'  13  21  28  45  52  66  64  75  52  31  11   9  200
31416 B   17  17  25  53  41  33  45  38  23  14  17  18  117
31416 D    9  15  27  29  33  37  37  34  21  12   7  10  180
31416 Q   17  17  29  44  75  60  83  55  43  30  14  15  269
31416 S'  14  25  36  46  66  65  79  70  47  30  14   9  207
31707 B   22  30  35  25  34  48  44  49  27  22  29  28  157
31707 D   12  19  22  20  27  35  33  30  19  16  12   9  153
31707 Q   16  25  38  48  61  78  65  79  57  43  16  14  330
31707 S'  19  29  35  43  52  73  64  75  56  42  19  14  259
31770 B   13  14  40  38  38  40  56  39  29  19  19  16  200
31770 D    9  14  26  20  21  23  24  29  23  11   7   7  120
31770 Q   15  20  32  43  50  62  85  63  39  29  16  11  223
31770 S'  19  29  39  44  45  66  81  65  43  27  16  11  195
32165 B   17  16  46  32  40  49  37  41  24  15  14  15  161
32165 D   10  15  26  23  31  36  37  41  25  17   9   9  185
32165 Q   13  13  21  35  44  65  60  47  31  25  16  12  153
32165 S'  17  33  42  47  65  55  45  45  41  27  15  13  198
32389 B   16  12  14  56  36  35  29  30  13  10  15  16  131
32389 D    9  10  19  24  31  30  28  19  14   9   9   3  122
32389 Q   12  16  37  49  62  74  62  56  33  21  19   6  218
32389 S'   7  21  45  56  72  79  66  60  35  18  13   4  202
34186 B   13  13  29  40  47  44  28  30  26  14  13  14  159
34186 D   10  17  32  26  36  30  28  23  17  12  11   8  161
34186 Q   18  32  62  62  75  76  54  55  47  36  22  13  306
34186 S'  16  31  53  61  83  80  57  54  49  35  17   8  264
34740 B   17  23  34  36  38  34  36  28  24  15  14  12  151
34740 D   16  24  28  19  27  24  25  23  16  13  13  11  123
34740 Q   28  38  57  60  65  57  56  53  47  38  31  18  257
34740 S'  20  28  46  59  74  69  69  60  49  37  23  11  241
34927 B   11  16  28  34  40  35  38  30  24  15  12  12  152
34927 D   14  17  23  28  34  34  35  31  23  19  12  11  208
34927 Q   25  30  52  58  62  61  56  58  48  38  25  17  230
34927 S'  18  23  45  64  62  70  73  54  45  31  21  11  253
36096 B   12   9  27  24  23  26  34  28  29  14  10  11  121
36096 D   12  17  29  27  25  30  31  24  20  16  10   9  167
36096 Q   20  30  40  43  34  53  51  32  33  25  17  15  214
36096 S'  13  21  36  50  42  55  56  41  44  26  11   8  185
36259 B   15  25  50  33  33  35  37  40  35  27  19  15  241
36259 D   16  20  37  36  38  39  39  37  27  17  14  13  224
36259 Q   12  22  36  45  57  57  65  56  37  31  16  12  248
36259 S'  17  24  38  49  54  60  74  43  48  30  20  16  176
37126 B   25  28  53  51  49  47  50  53  32  29  30  30  222
37126 D   19  34  46  61  48  49  45  41  29  26  17  16  342
37126 Q   28  34  59  66  72  68  83 100  58  51  28  20  328
37126 S'  35  43  55  51  80  84 104 105  66  53  35  26  381
