20069 гололед                   16    21    20    18     8    21    11    16    13    25    13    13   115
20069 изморозь                   2     4    15    26    30    31    31    28    31    30    10     6   198
20069 обледенение всех видов    23    27    26    26    30    31    31    28    31    30    18    25   254
20087 гололед                    7     8    14     3     .     .     .     5     .     3     4     4    21
20087 изморозь                   .     5    18    16    11    11    10    10    11     8     4     6    74
20087 обледенение всех видов    19    15    18    16    11    11    10    10    11     8     4    11   112
20292 гололед                   15    23    30    23    11    24    25    14    17    29    21    16   143
20292 изморозь                   1     3    12    21    30    27    25    28    29    15    10     4   139
20292 обледенение всех видов    20    23    30    25    30    27    25    28    29    29    21    24   229
20476 гололед                    8    13    10     8     3    14     .     .     .     .     2     9    44
20476 изморозь                   1     4     6    13    29    25    25    26    24    23    11     5   121
20476 обледенение всех видов    13    16    14    19    29    25    25    26    24    23    11    17   150
20667 гололед                    3     1     2     9     8     6     2     5     .     3     4     8    21
20667 изморозь                   .     .     2    15    30    22    22    22    24    21     8     3   109
20667 обледенение всех видов     6     6    16    16    30    22    22    22    24    21    11    14   134
20674 гололед                    8     9    10    16    16    14     .     1     2     9     5    10    52
20674 изморозь                   1     1     7    17    30    26    27    27    21    21     9     3   144
20674 обледенение всех видов    12    10    17    23    30    27    27    27    22    21    15    22   193
20744 гололед                    2     .     1     1     7     8     8     4     4     9     7     6    21
20744 изморозь                   .     1     1     2     3     2    11     6     4     3     3     1    15
20744 обледенение всех видов     5     6    15    18    12    16    13     7     7    13     9    12    65
20891 гололед                    .     1     4     6     8     3     1     1     .     1     3     2    16
20891 изморозь                   .     .     5    24    30    31    31    27    29    18     7     1   174
20891 обледенение всех видов     4     8    13    26    30    31    31    27    29    18    11    15   191
20982 гололед                    .     .     3     4     2     1     1     .     .     1     1     .     5
20982 изморозь                   .     2     6    15    21    25    22    24    11    13     5     .    83
20982 обледенение всех видов     4     5    12    16    21    25    22    24    11    13    11    14   105
21432 гололед                   13    16     7     3     .     .     .     .     .     3     4     7    35
21432 изморозь                   .     3    15    19    26    21    22    22    20    15     8     3   116
21432 обледенение всех видов    17    21    20    19    26    21    22    22    20    15     8    18   141
21931 гололед                    .     1     2     1     3     .     1     1     .     1     1     4     5
21931 изморозь                   .     .     6    18    30    29    31    28    19    13    10     1   137
21931 обледенение всех видов     5    11    15    18    30    29    31    28    19    13    10     7   143
21946 гололед                    1     1     3     3     4     2     .     .     1     2     3     2     6
21946 изморозь                   .     .     6    21    30    31    31    29    23    15     9     1   176
21946 обледенение всех видов     5    13    11    21    30    31    31    29    23    15    12     8   192
21982 гололед                    4     4    12     7     7     3     5     2     3     3     7    11    27
21982 изморозь                   .     2     5     6    13     9    13    14    15     8    10     2    42
21982 обледенение всех видов    10     8    13    21    13     9    13    14    16    10    15    12    85
22113 гололед                    .     .     1     1     5     2     2     2     1     1     1     .     5
22113 изморозь                   .     1     2     6    10    17    12     9    10     3     .     .    46
