20069 >20   .    .    .   0.0  0.1  0.1   . 
20069 >30   .    .    .    .    .    .    . 
20069 >50   .    .    .    .    .    .    . 
20087 >20  0.0   .    .   0.2   .    .    . 
20087 >30   .    .    .    .    .    .    . 
20087 >50   .    .    .    .    .    .    . 
20292 >20  0.0   .   0.1  0.3  0.2  0.0  0.1
20292 >30   .    .    .    .   0.0   .    . 
20292 >50   .    .    .    .    .    .    . 
20476 >20   .    .   0.1  0.1  0.1  0.1   . 
20476 >30   .    .    .    .    .    .    . 
20476 >50   .    .    .    .    .    .    . 
20667 >20  0.1   .   0.2  0.4  0.2   .    . 
20667 >30   .    .    .    .   0.1   .    . 
20667 >50   .    .    .    .    .    .    . 
20674 >20   .    .   0.1  0.3  0.3  0.1   . 
20674 >30   .    .   0.0   .    .    .    . 
20674 >50   .    .    .    .    .    .    . 
20744 >20  0.0   .   0.1  0.8  0.2  0.1  0.3
20744 >30  0.0   .    .   0.3   .    .   0.1
20744 >50   .    .    .   0.1   .    .   0.0
20891 >20   .    .   0.3  0.8  0.6   .    . 
20891 >30   .    .   0.1  0.2  0.0   .    . 
20891 >50   .    .   0.0  0.1   .    .    . 
20982 >20   .   0.0  0.3  0.9  0.5  0.1   . 
20982 >30   .    .    .   0.4  0.1  0.0   . 
20982 >50   .    .    .    .    .    .    . 
21432 >20   .    .    .   0.2  0.0   .    . 
21432 >30   .    .    .   0.0   .    .    . 
21432 >50   .    .    .    .    .    .    . 
21802 >20   .    .   0.1  0.7  0.3  0.1   . 
21802 >30   .    .   0.0   .   0.0   .    . 
21802 >50   .    .    .    .    .    .    . 
21908 >20   .   0.0  0.3  0.9  0.5  0.1   . 
21908 >30   .    .   0.0  0.3  0.2  0.0   . 
21908 >50   .    .    .    .    .    .    . 
21921 >20   .   0.1  0.2  0.9  1.1  0.4   . 
21921 >30   .    .    .   0.4  0.3  0.2   . 
21921 >50   .    .    .   0.0  0.0   .    . 
21931 >20   .   0.0  0.2  0.7  0.3  0.0   . 
21931 >30   .   0.0  0.0  0.3  0.0   .    . 
21931 >50   .    .    .   0.0   .    .    . 
21946 >20   .    .   0.2  0.3  0.2  0.1   . 
21946 >30   .    .   0.0  0.0  0.1  0.0   . 
21946 >50   .    .    .    .    .    .    . 
21982 >20   .    .   0.1  0.0  0.1  0.0   . 
21982 >30   .    .   0.0   .    .    .    . 
21982 >50   .    .    .    .    .    .    . 
22113 >20   .   0.0  0.8  1.2  1.2  0.7  0.1
22113 >30   .    .   0.1  0.3  0.4  0.1   . 
22113 >50   .    .    .    .   0.0   .    . 
22165 >20   .   0.0  0.4  0.5  0.5  0.1  0.1
22165 >30   .    .   0.1  0.1  0.0   .    . 
22165 >50   .    .    .   0.0   .    .    . 
22217 >20  0.0  0.3  0.6  1.6  1.0  0.7  0.2
22217 >30   .   0.1  0.1  0.4  0.2  0.0   . 
22217 >50   .    .    .   0.0   .    .    . 
22235 >20   .   0.2  0.6  1.7  1.8  0.5  0.2
22235 >30   .   0.0  0.1  0.3  0.5  0.0   . 
22235 >50   .    .    .   0.0   .    .    . 
22471 >20   .   0.2  0.8  1.2  1.6  0.5   . 
22471 >30   .    .   0.2  0.5  0.4  0.1   . 
22471 >50   .    .    .   0.1  0.1   .    . 
22520 >20  0.1  0.5  1.1  1.1  1.3  0.9  0.4
22520 >30   .   0.1  0.2  0.4  0.4  0.3  0.1
22520 >50   .    .   0.0   .   0.1   .   0.0
22550 >20  0.1  0.4  1.1  1.8  1.3  0.8  0.2
22550 >30   .   0.1  0.3  0.6  0.4  0.1   . 
22550 >50   .    .   0.0  0.0  0.1   .    . 
22619 >20  0.1  0.2  1.4  1.5  1.9  1.1  0.3
22619 >30   .   0.1  0.3  0.5  0.7  0.5   . 
22619 >50   .    .    .   0.1  0.3   .    . 
22641 >20  0.0  0.2  1.1  1.6  1.5  0.9  0.4
22641 >30   .    .   0.3  0.5  0.4  0.2   . 
22641 >50   .    .   0.0  0.0  0.1   .    . 
22676 >20  0.1  0.5  1.1  1.8  1.3  0.5  0.3
22676 >30   .   0.1  0.4  0.5  0.2   .    . 
22676 >50   .    .    .   0.1   .    .    . 
22768 >20  0.1  0.5  1.4  1.8  1.7  0.5  0.2
22768 >30   .   0.1  0.5  0.6  0.6  0.1  0.1
22768 >50   .    .   0.0  0.1  0.1   .    . 
22802 >20   .   0.5  0.7  1.0  1.7  1.3  0.7
22802 >30   .   0.1  0.2  0.4  0.7  0.3  0.2
22802 >50   .    .    .   0.0  0.0  0.0   . 
22820 >20  0.3  0.5  1.3  1.9  2.1  1.3  0.3
22820 >30   .   0.1  0.3  0.7  0.8  0.4   . 
22820 >50   .    .    .   0.2  0.1   .    . 
22837 >20  0.1  0.4  1.4  2.1  2.1  1.3  0.6
22837 >30   .   0.1  0.4  0.6  0.6  0.2  0.1
22837 >50   .    .   0.1  0.2  0.1  0.0   . 
23022 >20  0.0  0.1  0.6  0.8  0.5  0.2  0.1
23022 >30   .    .   0.1  0.3  0.1  0.1   . 
23022 >50   .    .    .    .    .    .    . 
23032 >20   .    .   0.2  0.4  0.5  0.1   . 
23032 >30   .    .   0.0  0.1  0.1   .    . 
23032 >50   .    .    .    .    .    .    . 
23058 >20   .    .   0.3  0.5  0.7  0.2  0.1
23058 >30   .    .   0.1  0.1  0.1   .    . 
23058 >50   .    .    .    .    .    .    . 
23074 >20   .   0.0  0.3  0.7  1.0  0.4  0.1
23074 >30   .    .   0.1  0.3  0.3  0.0   . 
23074 >50   .    .    .    .    .    .    . 
23205 >20   .   0.1  0.3  0.8  0.7  0.6  0.0
23205 >30   .   0.0  0.1  0.2  0.2  0.2   . 
23205 >50   .    .   0.0   .    .   0.0   . 
23242 >20   .   0.0  0.3  0.8  1.0  0.3  0.0
23242 >30   .    .   0.1  0.2  0.3  0.1  0.0
23242 >50   .    .    .    .    .    .    . 
23256 >20  0.1  0.1  0.8  1.2  1.2  0.3   . 
23256 >30   .   0.0  0.1  0.2  0.3  0.1   . 
23256 >50   .    .    .   0.1  0.1   .    . 
23274 >20   .   0.1  0.5  1.2  1.1  0.4  0.0
23274 >30   .    .   0.0  0.3  0.3  0.1   . 
23274 >50   .    .    .    .   0.0   .    . 
23324 >20  0.0  0.2  0.5  0.8  1.1  0.7  0.1
23324 >30   .   0.1  0.1  0.1  0.1  0.1   . 
23324 >50   .    .    .    .    .    .    . 
23330 >20  0.0  0.3  0.9  1.8  1.3  0.6  0.1
23330 >30   .   0.1  0.3  0.7  0.3  0.1  0.0
23330 >50   .    .    .   0.1  0.0   .    . 
23383 >20   .   0.1  0.8  1.5  1.3  0.5  0.1
23383 >30   .    .   0.1  0.4  0.4  0.0   . 
23383 >50   .    .    .    .    .    .    . 
