20069 A1   1.6   1.4   1.4   0.8   0.6   0.4   0.4   0.4   0.9   1.5   1.3   1.3
20069 A2   1.7   1.5   1.5   0.8   0.6   0.4   0.4   0.4   0.9   1.6   1.2   1.3
20069 A3   1.6   1.5   1.5   0.9   0.7   0.4   0.4   0.4   0.9   1.5   1.5   1.5
20069 A4   1.8   1.7   1.6   1.0   0.7   0.4   0.4   0.4   1.0   1.6   1.2   1.3
20069 A5   0.4   0.4   0.4   0.3   0.1   0.1   0.1   0.1   0.1   0.2   0.4   0.5
20069 A6   0.3   0.4   0.3   0.3   0.2   0.1   0.1   0.1   0.2   0.3   0.3   0.3
20069 A7   0.3   0.4   0.3   0.3   0.1   0.1   0.0   0.1   0.1   0.2   0.4   0.4
20087 A1   1.4   1.4   1.1   0.9   0.6   0.5   0.4   0.3   1.1   1.4   1.1   1.2
20087 A2   1.5   1.4   1.2   0.9   0.6   0.5   0.4   0.4   1.1   1.4   1.1   1.2
20087 A3   1.5   1.4   1.1   0.9   0.7   0.5   0.4   0.4   1.0   1.4   1.2   1.2
20087 A4   1.6   1.6   1.3   1.0   0.6   0.5   0.5   0.4   1.2   1.5   1.1   1.3
20087 A5   0.3   0.4   0.3   0.3   0.2   0.1   0.1   0.1   0.1   0.2   0.3   0.3
20087 A6   0.3   0.3   0.3   0.3   0.2   0.1   0.0   0.1   0.2   0.2   0.2   0.3
20087 A7   0.3   0.4   0.3   0.3   0.2   0.1   0.0   0.1   0.1   0.2   0.3   0.3
20292 A1   1.2   1.2   1.0   1.0   0.9   0.8   1.1   1.0   0.8   0.9   0.8   0.9
20292 A2   1.3   1.2   1.0   1.1   0.6   0.7   1.1   1.0   0.8   0.9   0.8   0.9
20292 A3   1.3   1.3   1.1   1.1   0.8   0.7   1.1   0.9   0.8   1.0   0.8   1.1
20292 A4   1.4   1.4   1.2   1.2   1.0   0.7   1.0   0.9   1.0   0.9   0.9   1.0
20292 A5   0.3   0.3   0.4   0.3   0.2   0.1   0.2   0.2   0.3   0.2   0.3   0.3
20292 A6   0.3   0.3   0.2   0.3   0.2   0.2   0.2   0.1   0.5   0.2   0.3   0.3
20292 A7   0.3   0.3   0.3   0.2   0.2   0.3   0.1   0.2   0.3   0.2   0.3   0.3
20476 A1   1.3   1.3   1.3   0.9   0.7   0.9   1.4   1.0   0.6   1.0   0.8   1.1
20476 A2   1.4   1.3   1.4   0.9   0.8   0.8   1.4   1.1   0.7   1.0   0.9   1.1
20476 A3   1.3   1.5   1.2   1.0   0.7   1.0   1.4   1.0   0.6   1.0   1.0   1.2
20476 A4   1.6   1.4   1.6   1.0   0.9   0.8   1.4   1.1   0.8   1.1   1.0   1.2
20476 A5   0.4   0.4   0.4   0.3   0.2   0.2   0.2   0.3   0.2   0.3   0.4   0.4
20476 A6   0.3   0.4   0.3   0.3   0.2   0.2   0.1   0.2   0.2   0.3   0.4   0.4
20476 A7   0.4   0.4   0.3   0.3   0.2   0.2   0.2   0.2   0.2   0.3   0.4   0.4
20667 A1   1.2   1.6   1.3   1.2   1.4   0.7   1.2   0.9   0.5   1.2   1.2   1.0
20667 A2   1.3   1.6   1.4   1.2   1.2   0.7   1.2   0.9   0.6   1.2   1.2   1.0
20667 A3   1.3   1.7   1.4   1.2   1.2   0.7   1.2   0.9   0.6   1.2   1.2   1.3
20667 A4   1.5   1.8   1.6   1.3   1.6   0.8   1.2   0.9   0.8   1.4   1.3   1.2
20667 A5   0.5   0.5   0.4   0.3   0.3   0.2   0.2   0.2   0.1   0.3   0.3   0.5
20667 A6   0.5   0.4   0.4   0.3   0.3   0.1   0.1   0.1   0.2   0.3   0.3   0.4
20667 A7   0.5   0.4   0.4   0.3   0.6   0.2   0.1   0.1   0.1   0.3   0.3   0.5
20674 A1   1.1   1.1   1.1   1.0   0.8   0.8   1.1   0.8   0.5   0.8   0.9   1.1
20674 A2   1.2   1.1   1.2   1.0   0.8   0.8   1.1   0.8   0.6   0.9   0.9   1.2
20674 A3   1.1   1.2   1.1   1.1   0.9   0.9   1.2   0.8   0.5   0.9   1.0   1.2
20674 A4   1.4   1.2   1.4   1.1   0.9   0.8   1.2   0.9   0.6   1.0   1.0   1.4
20674 A5   0.4   0.4   0.4   0.3   0.2   0.2   0.2   0.2   0.1   0.2   0.3   0.4
20674 A6   0.3   0.4   0.3   0.3   0.2   0.1   0.1   0.2   0.1   0.2   0.3   0.3
20674 A7   0.4   0.4   0.3   0.3   0.2   0.1   0.1   0.2   0.1   0.2   0.3   0.4
20744 A1   1.4   1.5   1.3   1.1   0.7   0.8   1.0   0.8   0.4   0.8   1.3   1.3
20744 A2   1.4   1.5   1.3   1.1   0.7   0.8   1.0   0.8   0.5   0.8   1.4   1.4
20744 A3   1.5   1.7   1.3   1.1   0.8   0.9   1.0   0.8   0.4   0.8   1.3   1.4
20744 A4   1.4   1.6   1.3   1.2   0.7   0.9   1.0   0.9   0.5   0.9   1.5   1.4
20744 A5   0.3   0.4   0.3   0.2   0.2   0.2   0.3   0.2   0.1   0.2   0.2   0.3
20744 A6   0.3   0.4   0.3   0.3   0.2   0.1   0.1   0.1   0.1   0.2   0.3   0.3
20744 A7   0.3   0.4   0.3   0.2   0.2   0.1   0.2   0.1   0.1   0.2   0.3   0.3
20891 A1   1.2   1.3   1.1   1.0   1.0   1.2   1.0   1.2   0.9   0.9   1.2   1.1
