20069 21.08 22.06 303
20087 24.08 21.06 302
20292  2.09 20.06 291
20476 14.09 18.06 274
20667  2.10 18.06 257
20674 26.09 14.06 261
20744 14.10  5.06 236
20891 26.09 31.05 248
20982 27.09 29.05 246
21432  9.09 17.06 277
21802 23.09  1.06 249
21908 24.09 24.05 241
21921 26.09 26.05 240
21931 25.09 27.05 242
21946 21.09 30.05 251
21982 17.09  8.06 265
22113 29.10 21.04 174
22165  7.11 19.05 195
22217 28.10 20.04 174
22235 20.10 29.04 192
22471 25.10 21.04 179
22520  8.11 16.04 161
22550 31.10 16.04 168
22619  9.11  9.04 152
22641  8.11  9.04 153
22676 27.10 13.04 169
22768  0.11  7.04 159
22802 19.11  2.04 134
22820 12.11  3.04 143
22837 10.11  2.04 144
23022 10.10  6.06 240
23032  9.10  5.06 240
23058  5.10  5.06 243
23074  2.10 30.05 240
23205 18.10 10.05 205
23242  7.10 30.05 237
23256  5.10 27.05 235
23274  5.10 20.05 228
23324 13.10  9.05 209
23330 10.10 16.05 218
23383  3.10 18.05 229
23405 18.10 24.04 189
23445 10.10 14.05 212
23463  5.10 17.05 225
23472  7.10 12.05 216
23552  9.10 15.05 218
23631 14.10 27.04 194
23662 10.10  7.05 208
23678 12.10  1.05 201
23711 20.10 16.04 178
23724 18.10 14.04 179
23734 16.10 22.04 188
23867 17.10 21.04 187
23884 13.10 22.04 191
23891  7.10 25.04 201
23914 23.10 12.04 171
23921 23.10  8.04 168
23933 19.10 18.04 182
23955 18.10 19.04 184
23966 16.10 24.04 188
23986  6.10 28.04 205
24125 25.09 19.05 236
24136 27.09 17.05 233
24143 28.09 17.05 230
24266 26.09 11.05 224
24329 28.09 13.05 226
24343 30.09 10.05 224
24382 26.09  8.05 223
24507  5.10  4.05 211
24606  3.10  5.05 213
24641  4.10  2.05 210
24661  0.10  3.05 214
24671 27.09  3.05 219
24688 23.09 11.05 228
24713  5.10  0.05 209
24738  6.10 28.04 204
24790 25.09 10.05 227
24817  6.10 28.04 204
24908  8.10 26.04 199
24959  5.10 30.04 207
24966  4.10 26.04 203
24967  2.10 28.04 208
25062 19.09  6.06 261
25138 26.09 13.05 229
25173 22.09  6.06 258
25206 28.09 14.05 228
25248 21.09 21.05 242
25282  2.10  3.06 244
25325 28.09 11.05 226
25356 27.09 18.05 232
25378  6.10 18.05 224
25399 17.10 30.05 226
25400 29.09 11.05 222
25428 28.09 10.05 225
25503 29.09  7.05 220
25538 29.09 14.05 225
25551  2.10 15.05 224
25563  5.10 22.05 230
25594 15.10 17.05 213
25677  8.10 22.05 226
25705  1.10  6.05 216
25745  5.10 10.05 214
25927 18.10 15.05 210
25932 22.10  9.05 199
25954 18.10  5.05 199
25956 18.10  7.05 202
26063 23.11 26.03 124
26157 28.11 17.03 110
26275 23.11 19.03 116
26359 25.11 13.03 109
26781 18.11 22.03 125
26997 22.11 15.03 113
27037  6.11  3.04 150
27051  2.11  5.04 155
27333  8.11  1.04 144
27459  9.11 30.03 142
27595  5.11  3.04 149
27612 17.11 20.03 122
27648 12.11 29.03 138
27675  9.11  1.04 145
27707 18.11 21.03 125
27823 14.11 29.03 136
27857 14.11 28.03 135
27995 11.11 30.03 139
28009 29.10  4.04 158
28064 24.10  8.04 167
28138 17.10 14.04 180
28224 29.10  6.04 160
28255 29.10  5.04 159
28275 25.10 10.04 169
28418  4.11  4.04 152
28434 30.10  5.04 158
28493 26.10  9.04 166
28552  2.11  4.04 154
28573 29.10  8.04 162
28666 31.10  7.04 159
28698 30.10  8.04 161
28704  6.11  3.04 148
28722  5.11  3.04 150
28748  3.11  3.04 153
29111 21.10 16.04 178
29231 22.10 16.04 177
29263 21.10 15.04 178
29282 21.10 14.04 176
29313 24.10 12.04 171
29328 23.10 11.04 170
29379 24.10  9.04 169
29570 27.10  7.04 163
29594 24.10  9.04 168
29612 27.10 11.04 167
29645 29.10  8.04 162
29752 10.10 23.04 196
29789 13.10 20.04 190
29866 29.10  3.04 157
29939  2.11  6.04 156
30054 11.10 24.04 194
30089  7.10 23.04 200
30230 14.10 19.04 187
30252 12.10 19.04 189
30309 21.10 16.04 179
30372  5.10 29.04 204
30385  8.10 22.04 197
30393  1.10  3.05 213
30433 19.10 25.04 189
30521 13.10 15.04 185
30554  7.10 25.04 199
30612 21.10 14.04 176
30636 18.10 14.04 177
30650 11.10 21.04 192
30673 10.10 20.04 191
30710 24.10 10.04 169
30758 17.10 13.04 178
30777 17.10 12.04 175
30844 14.10 15.04 184
30879 17.10 15.04 179
30925 23.10  7.04 166
30935 16.10 12.04 178
30949 17.10 10.04 176
30965 18.10 12.04 177
31004  2.10  1.05 211
31088 15.10  7.05 204
31137 29.09  4.05 218
31168 23.10  4.05 194
31174 24.10  2.05 191
31253 13.10 19.04 186
31329 12.10 22.04 191
31369 26.10 25.04 182
31416 23.10 16.04 173
31439 27.10 17.04 172
31478  7.10 28.04 202
31707 30.10  2.04 152
31770  6.11 12.04 158
31829 12.11  6.04 146
31960 16.11 26.03 131
31961 10.11 27.03 138
31989 25.11 19.03 115
32027 31.10  1.05 183
32061  4.11 15.04 163
32076  3.11 25.04 174
32098  6.11 15.04 161
32099 16.11 30.04 166
32150 13.11  8.04 146
32165 11.12  4.04 114
32213 21.11 29.04 161
32252 25.10  7.05 190
32287  0.11  1.05 181
32389 28.10 24.04 177
32477  3.11 29.04 178
32509 13.11 19.04 158
32562  6.11 26.04 172
32618 24.11 17.04 145
34110 20.11 22.03 110
34123 21.11 21.03 115
34152 19.11 23.03 119
34163 11.11 30.03 125
34186 14.11 28.03 120
34579 25.11 14.03 103
34720  9.12  2.03  61
34740 10.12 24.02  56
34866  6.12 27.02  90
34880  4.12  6.03  71
34927 20.12 10.02  49
34949 12.12 21.02  51
35011  9.11  1.04 139
36038  5.11  5.04 146
36064  9.11 27.03 160
36096 20.10  8.04 178
36229 23.10  5.04 166
36259 10.10 16.04 166
36307 20.10 17.04 190
37061 11.12 22.02  61
37107 20.12  9.02  55
37126 23.11  4.04 104
37228 10.12 23.02  81
37472 23.12  5.02  93
37663 16.12 16.02  43
31152  7.10 25.04 199
