20069 21.40 20.11 22.03 12.28  0.20   .     .     .     .    2.06 11.52 18.58
20087 23.26 21.79 23.84 12.32  0.13   .     .     .     .    2.09 12.36 20.13
20292 25.17 23.09 25.38 13.96  0.30   .     .     .     .    1.88 12.97 21.39
20476 22.39 21.75 22.25 13.81  0.36   .     .     .     .    2.63 15.29 22.60
20667 18.42 18.86 18.13  9.83  0.46   .     .     .     .    0.27  5.32 12.51
20674 21.62 20.34 19.85  8.63  0.14   .     .     .     .    0.65  9.22 17.91
20744  4.89  5.47  4.08  0.62  0.01   .     .     .     .     .    0.34  1.78
20891 24.94 22.68 22.10 12.33  0.43   .     .     .     .    4.32 19.67 23.48
20982 24.29 22.03 20.46 10.08  0.29   .     .     .     .    4.95 18.53 21.89
21432 27.97 26.59 27.08 13.68  0.19   .     .     .     .    1.92 15.99 25.96
21802 26.81 24.67 24.85 14.42  0.68   .     .     .     .    5.39 21.86 25.46
21908 27.23 24.71 23.56 11.03  0.25   .     .     .    0.01  6.44 22.71 27.00
21921 25.24 22.09 20.61  7.70  0.12   .     .     .     .    3.98 20.93 24.46
21931 28.10 25.62 24.30 11.72  0.19   .     .     .     .    4.01 22.53 28.01
21946 29.96 26.94 26.06 12.27  0.30   .     .     .     .    3.11 21.94 29.09
21982 18.92 20.09 19.99  7.61  0.18   .     .     .     .    0.06  3.00 14.07
22113  2.30  2.10  0.39   .     .     .     .     .     .     .    0.18  1.52
22165  0.47  0.79  0.42  0.06   .     .     .     .     .     .     .    0.12
22217  5.55  4.90  2.06  0.04   .     .     .     .     .     .    0.26  2.96
22235  8.48  7.53  4.93  0.87   .     .     .     .     .    0.04  1.58  5.27
22471  8.43  5.67  1.84  0.02   .     .     .     .     .     .    0.92  4.90
22520  3.32  2.44  0.75  0.02   .     .     .     .     .     .    0.02  1.10
22550  6.03  4.06  1.79  0.01   .     .     .     .     .     .    0.50  3.59
22619  5.43  4.14  1.12   .     .     .     .     .     .     .    0.14  2.16
22641  5.29  3.44  1.41  0.01   .     .     .     .     .     .    0.15  2.53
22676 10.95  8.02  3.93  0.25   .     .     .     .     .     .    2.21  6.98
22768  6.24  4.68  1.64  0.04   .     .     .     .     .    0.02  0.73  3.83
22802  3.57  2.74  0.83   .     .     .     .     .     .     .     .    1.17
22820  3.42  2.41  0.47   .     .     .     .     .     .     .    0.03  1.11
22837  4.60  3.37  1.39  0.03   .     .     .     .     .     .    0.22  2.31
23022 12.24 12.05 10.29  2.48  0.03   .     .     .     .    0.03  2.01  7.41
23032 14.87 14.33 13.20  4.95  0.07   .     .     .     .    0.19  5.30 11.16
23058 21.68 17.98 16.67 10.33  0.23   .     .     .     .    1.81 11.13 17.23
23074 20.74 17.61 16.75  9.14  0.37   .     .     .     .    2.37 14.80 19.09
23205 11.67 10.53  8.03  2.17   .     .     .     .     .    0.02  3.00  8.22
23242 20.68 18.80 16.14  6.68  0.06   .     .     .     .    0.53  9.37 16.32
23256 21.15 19.16 16.06  7.76  0.08   .     .     .     .    1.18 12.46 17.91
23274 21.78 18.14 14.96  6.08  0.08   .     .     .     .    1.67 14.32 18.82
23324 12.01  9.90  7.94  2.75  0.01   .     .     .     .    0.41  4.78  8.94
23330 17.38 15.30 11.15  2.71  0.05   .     .     .     .    0.23  7.53 13.97
23383 27.58 24.57 19.20  8.58  0.30   .     .     .     .    1.97 19.72 26.08
23405 10.33  7.68  4.40  0.49   .     .     .     .     .    0.02  2.70  7.07
23445 18.23 15.25  9.63  3.73  0.02   .     .     .     .    0.66  9.59 15.16
23463 20.89 17.59 13.23  6.09  0.13   .     .     .     .    2.43 13.80 18.39
23472 21.24 17.24 11.31  4.20  0.05   .     .     .     .    1.53 13.09 17.93
23552 19.30 16.90 12.04  3.81  0.03   .     .     .     .    0.75 10.81 17.04
23631 16.95 14.53  7.56  0.85  0.01   .     .     .     .    0.13  6.29 13.38
23662 19.65 17.12 11.75  3.69  0.04   .     .     .     .    1.12 12.28 18.51
23678 18.32 14.66  8.88  1.62  0.01   .     .     .     .    0.53  9.89 17.73
23711 11.72  9.03  4.38  0.29   .     .     .     .     .    0.10  3.16  8.83
23724 15.75 12.15  5.63  0.39   .     .     .     .     .    0.20  4.95 12.14
23734 14.82 11.18  4.49  0.18   .     .     .     .     .    0.04  4.42 11.71
23867 16.27 13.35  7.28  1.01   .     .     .     .     .    0.20  7.56 14.03
23884 18.59 15.16  8.54  1.14   .     .     .     .     .    0.28  8.73 16.57
23891 25.48 20.97 12.16  1.51   .     .     .     .     .    1.29 14.63 23.94
23914  7.87  4.87  1.31   .     .     .     .     .     .    0.02  1.12  5.45
23921 14.35 11.31  3.80  0.16   .     .     .     .     .    0.07  3.62 10.96
23933 11.27  8.24  3.24  0.11   .     .     .     .     .    0.02  3.02  8.69
23955 16.15 12.47  5.90  0.57   .     .     .     .     .    0.15  5.92 13.41
23966 17.35 14.55  7.47  1.27   .     .     .     .     .    0.53  7.74 15.72
23986 14.54 11.73  3.85  0.36   .     .     .     .     .    0.26  7.26 13.36
24125 28.72 25.38 21.58  6.80  0.13   .     .     .     .    4.78 23.54 27.41
24136 29.65 26.77 24.87 10.62  0.26   .     .     .     .    6.62 25.12 29.42
