20891   .     .     .     .     .    0.07  0.47   .     .     .     .     .  
20982   .     .     .     .     .    0.09  0.38  0.03   .     .     .     .  
21802   .     .     .     .     .    0.05  0.65  0.03   .     .     .     .  
21908   .     .     .     .     .    0.30  1.56  0.11   .     .     .     .  
21921   .     .     .     .     .    0.10  0.58  0.01   .     .     .     .  
21931   .     .     .     .     .    0.15  0.63  0.05   .     .     .     .  
21946   .     .     .     .     .    0.01  0.11   .     .     .     .     .  
22113   .     .     .     .     .    0.05  0.27   .     .     .     .     .  
22165   .     .     .     .     .     .    0.01   .     .     .     .     .  
22217   .     .     .     .     .    0.05  0.09   .     .     .     .     .  
22235   .     .     .     .     .    0.08  0.36  0.04   .     .     .     .  
22471   .     .     .     .     .    0.22  1.22  0.18   .     .     .     .  
22520   .     .     .     .     .    0.09  0.14  0.05   .     .     .     .  
22550   .     .     .     .    0.02  0.29  0.93  0.19   .     .     .     .  
22619   .     .     .     .    0.02  0.04  0.22  0.08   .     .     .     .  
22641   .     .     .     .    0.04  0.48  1.34  0.28   .     .     .     .  
22676   .     .     .     .    0.05  0.89  2.52  0.50   .     .     .     .  
22768   .     .     .     .    0.07  0.90  1.98  0.59   .     .     .     .  
22802   .     .     .     .     .    0.16  0.26  0.01   .     .     .     .  
22820   .     .     .     .    0.01  0.11  0.41  0.09   .     .     .     .  
22837   .     .     .     .    0.04  0.37  1.10  0.31   .     .     .     .  
23022   .     .     .     .     .     .    0.11   .     .     .     .     .  
23058   .     .     .     .     .    0.02  0.15   .     .     .     .     .  
23074   .     .     .     .     .    0.08  0.21  0.01   .     .     .     .  
23205   .     .     .     .     .    0.11  0.74  0.08   .     .     .     .  
23242   .     .     .     .     .     .    0.13   .     .     .     .     .  
23256   .     .     .     .     .    0.03  0.37   .     .     .     .     .  
23274   .     .     .     .     .    0.39  0.89  0.04   .     .     .     .  
23324   .     .     .     .     .    0.11  0.85  0.05   .     .     .     .  
23330   .     .     .     .     .    0.04  0.30   .     .     .     .     .  
23383   .     .     .     .     .    0.21  0.79  0.03   .     .     .     .  
23405   .     .     .     .    0.01  0.21  0.82  0.07   .     .     .     .  
23445   .     .     .     .     .    0.45  1.71  0.09   .     .     .     .  
23463   .     .     .     .    0.02  1.09  1.71  0.21  0.02   .     .     .  
23472   .     .     .     .     .    0.65  1.38  0.09   .     .     .     .  
23552   .     .     .     .    0.01  0.48  1.75  0.05   .     .     .     .  
23631   .     .     .     .    0.01  0.38  0.78  0.08   .     .     .     .  
23662   .     .     .     .    0.13  1.10  2.25  0.19   .     .     .     .  
23678   .     .     .     .    0.03  0.66  1.48  0.13   .     .     .     .  
23711   .     .     .     .    0.05  0.69  1.56  0.31   .     .     .     .  
23724   .     .     .     .    0.05  1.09  2.47  0.41   .     .     .     .  
23734   .     .     .     .    0.03  0.65  1.30  0.09   .     .     .     .  
23867   .     .     .     .    0.09  1.08  2.29  0.09   .     .     .     .  
23884   .     .     .     .    0.13  1.86  3.53  0.41   .     .     .     .  
23891   .     .     .     .    0.06  1.35  2.97  0.42   .     .     .     .  
23914   .     .     .     .    0.04  0.87  1.20  0.38   .     .     .     .  
23921   .     .     .     .    0.10  1.42  2.36  0.60  0.01   .     .     .  
23933   .     .     .     .    0.04  0.69  1.04  0.16   .     .     .     .  
23955   .     .     .     .    0.24  1.23  1.76  0.10   .     .     .     .  
23966   .     .     .     .    0.17  1.78  2.83  0.25   .     .     .     .  
23986   .     .     .     .    0.01  0.24  0.55  0.03   .     .     .     .  
24125   .     .     .     .     .    0.30  1.85  0.20   .     .     .     .  
24136   .     .     .     .     .    0.44  2.26  0.26   .     .     .     .  
24143   .     .     .     .     .    0.13  0.85  0.05   .     .     .     .  
24266   .     .     .     .     .    0.72  2.57  0.44   .     .     .     .  
24329   .     .     .     .     .    0.52  2.17  0.19   .     .     .     .  
24343   .     .     .     .    0.01  0.16  1.11  0.09   .     .     .     .  
24382   .     .     .     .     .    1.28  3.58  0.63   .     .     .     .  
24507   .     .     .     .    0.03  1.23  2.99  0.33   .     .     .     .  
24606   .     .     .     .    0.09  1.13  3.64  0.36   .     .     .     .  
24641   .     .     .     .    0.01  1.36  3.54  0.71   .     .     .     .  
24661   .     .     .     .     .    0.69  2.97  0.64   .     .     .     .  
24671   .     .     .     .     .    1.51  3.96  0.35   .     .     .     .  
24688   .     .     .     .     .    0.14  0.96  0.19   .     .     .     .  
24713   .     .     .     .    0.04  0.83  2.03  0.23   .     .     .     .  
24738   .     .     .     .    0.05  1.99  4.56  0.95   .     .     .     .  
24790   .     .     .     .     .    0.33  1.10  0.04   .     .     .     .  
24817   .     .     .     .    0.09  1.68  3.37  0.49  0.01   .     .     .  
24908   .     .     .     .    0.12  2.04  3.89  0.52   .     .     .     .  
24959   .     .     .     .    0.02  1.33  3.98  0.88   .     .     .     .  
24966   .     .     .     .     .    0.99  3.33  0.64   .     .     .     .  
24967   .     .     .     .    0.03  2.11  5.82  1.67   .     .     .     .  
25138   .     .     .     .     .    0.27  0.86  0.09   .     .     .     .  
25173   .     .     .     .     .     .    0.01   .     .     .     .     .  
25206   .     .     .     .     .    0.43  1.03  0.16   .     .     .     .  
25248   .     .     .     .     .    0.03  0.25  0.01   .     .     .     .  
25325   .     .     .     .     .    0.27  0.84  0.04   .     .     .     .  
25356   .     .     .     .     .    0.03  0.19   .     .     .     .     .  
25400   .     .     .     .     .    0.78  2.04  0.22   .     .     .     .  
25428   .     .     .     .     .    0.10  0.66  0.04   .     .     .     .  
25503   .     .     .     .     .    0.92  2.32  0.19   .     .     .     .  
25538   .     .     .     .     .    0.09  0.36  0.04   .     .     .     .  
25551   .     .     .     .     .    0.10  0.22   .     .     .     .     .  
25563   .     .     .     .     .     .    0.01   .     .     .     .     .  
25705   .     .     .     .     .    1.07  3.05  0.62   .     .     .     .  
25927   .     .     .     .     .     .    0.01  0.01   .     .     .     .  
26063   .     .     .     .    0.04  0.35  0.89  0.33  0.01   .     .     .  
26157   .     .     .     .    0.06  0.10  0.59  0.23  0.02   .     .     .  
26275   .     .     .     .    0.13  0.56  1.33  0.54  0.03   .     .     .  
26359   .     .     .     .    0.16  0.24  1.22  0.53   .     .     .     .  
26781   .     .     .     .    0.04  0.15  0.86  0.55   .     .     .     .  
26997   .     .     .     .    0.48  1.14  2.43  1.95  0.02   .     .     .  
27037   .     .     .     .    0.04  0.57  1.39  0.47   .     .     .     .  
27051   .     .     .     .    0.03  0.48  1.04  0.43   .     .     .     .  
27333   .     .     .     .    0.07  0.84  2.03  1.12  0.02   .     .     .  
27459   .     .     .     .    0.14  1.22  1.90  1.34  0.07   .     .     .  
27595   .     .     .     .    0.35  2.75  3.78  2.57  0.12   .     .     .  
27612   .     .     .     .    0.30  1.04  2.40  1.21   .     .     .     .  
27648   .     .     .     .    0.36  1.40  2.51  1.84  0.08   .     .     .  
27675   .     .     .     .    0.69  2.77  3.79  2.93  0.27   .     .     .  
27707   .     .     .     .    0.09  0.38  1.38  1.11   .     .     .     .  
27823   .     .     .     .    0.61  2.13  3.61  2.52  0.06   .     .     .  
27857   .     .     .    0.01  0.90  2.61  3.90  3.25  0.25   .     .     .  
27995   .     .     .    0.07  1.94  6.15  8.97  6.56  1.15   .     .     .  
28009   .     .     .     .    0.09  1.30  3.11  0.79   .     .     .     .  
28064   .     .     .     .    0.27  1.73  1.95  0.61  0.04   .     .     .  
28138   .     .     .     .    0.04  0.28  0.31  0.20   .     .     .     .  
28224   .     .     .     .    0.14  1.43  2.15  1.02  0.02   .     .     .  
28255   .     .     .    0.01  0.57  2.70  3.29  1.23  0.05   .     .     .  
28275   .     .     .     .    0.29  1.72  1.66  0.42  0.01   .     .     .  
28418   .     .     .    0.01  0.47  2.89  4.08  2.34  0.13   .     .     .  
28434   .     .     .     .    0.37  2.67  3.08  1.76  0.03   .     .     .  
28493   .     .     .     .    0.59  2.28  2.32  0.48  0.06   .     .     .  
28552   .     .     .    0.04  1.14  4.54  4.18  2.18  0.29   .     .     .  
28573   .     .     .    0.01  0.87  3.46  2.67  1.20  0.08   .     .     .  
28666   .     .     .    0.03  1.01  4.42  4.04  2.18  0.28   .     .     .  
28698   .     .     .    0.03  0.98  4.19  3.92  1.43  0.19   .     .     .  
28704   .     .     .    0.01  1.23  4.19  5.66  4.05  0.65   .     .     .  
28722   .     .     .    0.01  0.91  3.63  4.17  2.71  0.26   .     .     .  
28748   .     .     .    0.04  1.48  5.97  5.86  3.96  0.61   .     .     .  
29111   .     .     .     .    0.28  2.05  2.80  0.25  0.01   .     .     .  
29231   .     .     .     .    0.25  1.42  1.91  0.20   .     .     .     .  
29263   .     .     .     .    0.12  1.18  1.82  0.24   .     .     .     .  
29282   .     .     .     .    0.29  2.54  4.58  0.75  0.02   .     .     .  
29313   .     .     .     .    0.45  2.00  2.38  0.26  0.01   .     .     .  
29328   .     .     .     .    0.44  2.13  2.39  0.42  0.01   .     .     .  
29379   .     .     .     .    0.70  2.52  4.81  1.00  0.11   .     .     .  
29570   .     .     .    0.01  0.37  1.59  2.20  0.71  0.05   .     .     .  
29594   .     .     .     .    0.34  1.98  2.44  0.76  0.07   .     .     .  
29612   .     .     .     .    0.47  2.54  2.81  0.83  0.09   .     .     .  
29645   .     .     .     .    0.77  3.10  3.92  1.28  0.12   .     .     .  
29752   .     .     .     .     .     .    0.01  0.01   .     .     .     .  
29789   .     .     .     .     .    0.49  0.91  0.57  0.01   .     .     .  
29866   .     .     .    0.03  0.87  4.33  5.59  2.77  0.20   .     .     .  
29939   .     .     .    0.05  1.09  3.75  5.13  2.59  0.46   .     .     .  
30054   .     .     .     .    0.09  2.43  4.75  0.95   .     .     .     .  
30089   .     .     .     .    0.17  3.67  7.71  2.39   .     .     .     .  
