20069 1     .     .     1     .     .     .     .     .     .     .     .     1     1
20069 2     .     .  1966     .     .     .     .     .     .     .     .  1973  1966
20069 3     .     .     .     .     .     .     .     .     .     .     .     .  1973
20292 1     .     .     1     .     .     .     1     1     .     .     .     1     1
20292 2     .     .  1971     .     .     .  1973  1982     .     .     .  1968  1968
20292 3     .     .     .     .     .     .  1979     .     .     .     .     .  1971
20476 1     .     1     1     .     .     1     1     2     2     1     .     .     2
20476 2     .  1970  1970     .     .  1969  1973  1971  1972  1974     .     .  1969
20476 3     .     .  1975     .     .     .  1978     .     .     .     .     .  1970
20667 1     .     .     .     .     .     1     1     2     .     .     .     .     2
20667 2     .     .     .     .     .  2006  1966  1983     .     .     .     .  1982
20667 3     .     .     .     .     .     .  1975     .     .     .     .     .  1983
20674 1     .     .     .     .     .     1     3     1     1     .     .     4     4
20674 2     .     .     .     .     .  1981  1979  1975  1984     .     .  1966  1966
20674 3     .     .     .     .     .     .     .  1980     .     .     .     .  1984
20744 1     .     .     .     .     .     1     2     1     1     .     .     .     2
20744 2     .     .     .     .     .  2006  1990  1969  1980     .     .     .  1990
20744 3     .     .     .     .     .     .     .  1977     .     .     .     .     .
20891 1     1     .     .     .     2     2     5     1     .     1     .     1     5
20891 2  1966     .     .     .  1966  1979  1986  1974     .  1966     .  1970  1986
20891 3     .     .     .     .     .  2002     .  1977     .     .     .     .     .
20982 1     .     .     .     .     .     1     4     2     2     .     .     .     4
20982 2     .     .     .     .     .  1968  1978  1971  1984     .     .     .  1967
20982 3     .     .     .     .     .  1979     .     .     .     .     .     .  1978
21432 1     .     .     .     .     .     .     1     .     .     .     .     .     1
21432 2     .     .     .     .     .     .  1997     .     .     .     .     .  1997
21802 1     .     .     2     .     .     2     1     1     .     .     1     .     3
21802 2     .     .  1967     .     .  1990  1970  1966     .     .  1966     .  1999
21802 3     .     .     .     .     .  1999  1971  1971     .     .     .     .     .
21908 1     .     .     .     1     1     4     6     4     .     .     .     1     8
21908 2     .     .     .  1975  1975  2009  1982  1983     .     .     .  1971  2009
21908 3     .     .     .  1976     .     .     .     .     .     .     .     .     .
21921 1     .     .     .     .     .     3     3     3     1     .     .     .     5
21921 2     .     .     .     .     .  1999  1993  2008  2003     .     .     .  2008
21921 3     .     .     .     .     .     .     .     .     .     .     .     .  2009
21931 1     .     .     .     .     .     2     2     3     1     .     .     .     4
21931 2     .     .     .     .     .  1999  1985  2003  1999     .     .     .  1999
21931 3     .     .     .     .     .     .  1988     .     .     .     .     .     .
21946 1     1     .     .     .     .     2     2     1     .     1     .     .     3
21946 2  1966     .     .     .     .  1999  2003  1969     .  1966     .     .  1966
21946 3     .     .     .     .     .     .     .  1973     .  1974     .     .     .
21982 1     1     .     .     .     .     1     1     .     .     1     .     .     2
