20667     .      .      .      .      .      .      .      .      .      .      .      .     0.1    0.1    0.2     .      .      .      .      .      .      .      .      . 
20674     .      .      .      .      .      .      .      .      .      .     0.0    0.0    0.0    0.1    0.1    0.1    0.2     .      .      .      .      .      .      . 
20744     .      .      .      .      .      .      .      .      .      .      .     0.0    0.4    0.1    0.1     .      .      .      .      .      .      .      .      . 
20891     .      .      .      .      .      .      .      .      .     0.0    0.5    2.5    6.4   14.2   13.0    6.4    4.3    2.1     .      .      .      .      .      . 
20982     .      .      .      .      .      .      .      .     0.1    0.1    0.8    3.5    8.1   16.8   15.2    8.6    5.0    2.7     .      .      .      .      .      . 
21802     .      .      .      .      .      .      .      .      .      .     0.3    3.2    5.1    7.6    7.5    7.6    3.2     .      .      .      .      .      .      . 
21908     .      .      .      .      .      .      .      .     0.3    0.4    1.7   10.9   17.8   27.0   18.4   15.7    8.4    1.8     .      .      .      .      .      . 
21921     .      .      .      .      .      .      .      .     0.0    0.1    1.6    5.9    6.6   14.9   13.0    7.3    6.3    0.8     .      .      .      .      .      . 
21931     .      .      .      .      .      .      .      .     0.1    0.2    1.0    4.1    4.8    7.5    8.6    6.9    3.5     .      .      .      .      .      .      . 
21946     .      .      .      .      .      .      .      .      .     0.1    0.6    3.2    4.0    6.7    3.6    4.2    1.2     .      .      .      .      .      .      . 
22113     .      .      .      .      .      .      .      .     0.2    0.5    2.3    4.8    8.0   16.2   15.2   12.9    7.4    0.5     .      .      .      .      .      . 
22165     .      .      .      .      .      .      .      .      .     0.1    0.2    0.2    1.1    1.7    1.4    0.9     .      .      .      .      .      .      .      . 
22217     .      .      .      .      .      .      .     0.0    0.1    0.7    2.4    5.8   13.3   21.8   27.1   21.3    9.8    5.0    0.9     .      .      .      .      . 
22235     .      .      .      .      .      .      .      .     0.5    1.3    2.3    5.9   10.2   22.6   23.4   12.5    8.0    0.3     .      .      .      .      .      . 
22471     .      .      .      .      .      .     0.1    0.1    0.5    2.3    4.9   16.5   21.1   34.8   46.7   31.3   12.1    8.5    8.5     .      .      .      .      . 
22520     .      .      .      .      .      .     0.1    0.1    0.2    1.3    2.8    6.9   12.3   18.7   28.3   23.1   17.8    4.3    1.6     .      .      .      .      . 
22550     .      .      .      .      .     0.0    0.1    0.9    1.4    4.2   11.3   24.3   39.2   60.7   78.0   63.2   48.1   22.6    6.9     .      .      .      .      . 
