20292 1     .     .     .     .     .     .     .     1     .     .     .     .     1
20292 2     .     .     .     .     .     .     .  1966     .     .     .     .  1966
20476 1     .     .     .     .     .     .     .     .     1     .     .     .     1
20476 2     .     .     .     .     .     .     .     .  1972     .     .     .  1972
20674 1     .     .     .     .     .     .     .     1     .     1     .     .     1
20674 2     .     .     .     .     .     .     .  1990     .  2009     .     .  1990
20674 3     .     .     .     .     .     .     .     .     .     .     .     .  2009
20744 1     1     .     .     .     .     .     .     .     .     .     .     .     1
20744 2  1967     .     .     .     .     .     .     .     .     .     .     .  1967
20891 1     .     .     .     .     .     1     1     1     .     .     .     .     1
20891 2     .     .     .     .     .  1990  2006  1985     .     .     .     .  1985
20891 3     .     .     .     .     .     .     .  1988     .     .     .     .  1988
20982 1     .     .     .     .     .     .     .     1     .     .     .     .     1
20982 2     .     .     .     .     .     .     .  2011     .     .     .     .  2011
21432 1     .     .     .     .     .     .     1     .     .     .     .     .     1
21432 2     .     .     .     .     .     .  2010     .     .     .     .     .  2010
21802 1     .     .     .     .     .     .     .     1     .     .     .     .     1
21802 2     .     .     .     .     .     .     .  2004     .     .     .     .  2004
21921 1     .     .     .     .     .     1     .     .     1     .     .     .     1
21921 2     .     .     .     .     .  2003     .     .  2006     .     .     .  2003
21921 3     .     .     .     .     .     .     .     .     .     .     .     .  2006
21931 1     .     .     .     .     .     1     .     .     .     .     .     .     1
21931 2     .     .     .     .     .  1994     .     .     .     .     .     .  1994
21982 1     .     .     .     .     .     .     1     .     .     .     .     .     1
21982 2     .     .     .     .     .     .  1966     .     .     .     .     .  1966
21982 3     .     .     .     .     .     .  1976     .     .     .     .     .  1976
22113 1     .     .     .     .     .     1     .     1     .     .     .     .     1
22113 2     .     .     .     .     .  2000     .  1996     .     .     .     .  1996
22113 3     .     .     .     .     .     .     .     .     .     .     .     .  2000
22165 1     .     .     .     .     .     1     .     .     .     .     .     .     1
22165 2     .     .     .     .     .  2009     .     .     .     .     .     .  2009
22217 1     1     .     .     .     1     1     .     .     .     .     .     .     1
22217 2  1967     .     .     .  1989  2000     .     .     .     .     .     .  1967
22217 3     .     .     .     .     .     .     .     .     .     .     .     .  1989
22235 1     .     .     .     .     1     1     .     1     .     .     1     .     1
22235 2     .     .     .     .  2005  1967     .  1977     .     .  1966     .  1966
22235 3     .     .     .     .     .  2007     .     .     .     .     .     .  1967
22520 1     .     .     .     .     1     1     1     .     1     .     .     .     2
22520 2     .     .     .     .  1989  1984  1996     .  1984     .     .     .  1984
22520 3     .     .     .     .  2005  2004     .     .  1986     .     .     .     .
22550 1     .     .     .     .     1     1     1     1     .     .     .     .     2
22550 2     .     .     .     .  1998  1978  1998  1984     .     .     .     .  1998
22550 3     .     .     .     .     .  1996  1999  2008     .     .     .     .     .
22619 1     .     .     .     .     1     .     .     .     1     .     .     .     1
22619 2     .     .     .     .  1993     .     .     .  1986     .     .     .  1986
22619 3     .     .     .     .  1999     .     .     .  2003     .     .     .  1993
22641 1     .     .     .     .     .     .     .     .     1     1     .     .     1
22641 2     .     .     .     .     .     .     .     .  1969  1983     .     .  1969
22641 3     .     .     .     .     .     .     .     .     .  1985     .     .  1983
22676 1     .     .     .     1     .     .     .     .     .     .     .     .     1
22676 2     .     .     .  1967     .     .     .     .     .     .     .     .  1967
22768 1     .     .     .     .     .     .     .     1     2     .     .     .     2
22768 2     .     .     .     .     .     .     .  2003  2007     .     .     .  2007
22802 1     .     .     .     .     2     1     1     1     1     .     .     .     2
22802 2     .     .     .     .  2006  2007  2012  1989  2000     .     .     .  2006
22802 3     .     .     .     .     .     .     .     .  2005     .     .     .  2007
22820 1     .     .     1     .     .     1     .     1     .     .     .     .     1
22820 2     .     .  1976     .     .  2000     .  1984     .     .     .     .  1976
22820 3     .     .     .     .     .     .     .  1999     .     .     .     .  1984
22837 1     .     .     .     .     1     1     .     1     2     .     .     .     2
22837 2     .     .     .     .  1982  1976     .  1983  1972     .     .     .  1972
22837 3     .     .     .     .  2004  1982     .  1984     .     .     .     .  1982
23032 1     .     .     .     .     .     .     .     .     1     .     .     .     1
23032 2     .     .     .     .     .     .     .     .  1971     .     .     .  1971
23074 1     .     .     .     .     .     1     .     1     .     .     .     .     1
23074 2     .     .     .     .     .  1988     .  2007     .     .     .     .  1988
23074 3     .     .     .     .     .     .     .     .     .     .     .     .  2007
23242 1     .     .     .     .     .     .     1     1     1     .     .     .     1
23242 2     .     .     .     .     .     .  2011  1988  2004     .     .     .  1988
23242 3     .     .     .     .     .     .     .  2010     .     .     .     .  2004
23256 1     .     .     .     .     .     1     .     .     .     .     .     .     1
23256 2     .     .     .     .     .  2012     .     .     .     .     .     .  2012
23274 1     .     .     .     .     .     .     .     .     1     .     .     .     1
23274 2     .     .     .     .     .     .     .     .  1966     .     .     .  1966
23324 1     .     .     .     .     .     .     .     1     .     .     .     .     1
23324 2     .     .     .     .     .     .     .  1996     .     .     .     .  1996
23330 1     .     .     .     .     1     .     .     .     .     .     .     .     1
23330 2     .     .     .     .  2001     .     .     .     .     .     .     .  2001
23383 1     .     .     .     .     .     .     .     1     2     1     .     .     2
23383 2     .     .     .     .     .     .     .  1969  1972  1974     .     .  1972
23405 1     .     .     .     .     1     1     1     .     1     .     .     .     2
23405 2     .     .     .     .  1987  1984  1984     .  1987     .     .     .  1984
23405 3     .     .     .     .     .  1989  1999     .     .     .     .     .  1987
23445 1     .     .     .     .     .     1     .     .     1     .     .     .     1
