23472 B   -40  -42  -31   20  216  341  324  191   63  -12  -37  -37   955
23472 D     8   46  139  237  310  290  264  205  116   51   15    2  1685
23472 Q    10   63  226  434  580  582  600  387  176   68   19    2  3146
23472 S    14   95  278  459  527  540  634  392  167   76   35    0  3214
23472 S'    1   17   87  198  269  292  335  182   60   17    4    0  1461
23552 B   -40  -23  -21   24  185  275  259  157   63  -12  -34  -41   793
23552 D    11   52  146  243  333  287  266  209  121   57   19    4  1746
23552 Q    12   69  244  431  565  544  559  361  186   76   23    4  3073
23552 S    14  107  307  410  437  466  523  297  153   57   32    0  2819
23552 S'    1   17   98  188  232  257  293  153   65   19    3    0  1327
23955 B   -34  -34  -16  108  293  339  339  224   93    8  -30  -39  1252
23955 D    27   71  171  241  267  264  257  220  138   79   23   15  1773
23955 Q    37  113  302  460  559  607  618  425  234  113   32   19  3519
23955 S    59  175  346  446  522  585  630  401  231  122   50   35  3609
23955 S'    9   42  130  219  292  344  361  205   97   34    9    3  1747
24382 B   -23  -16  -19   59  318  367  327  211   79  -19  -33  -28  1225
24382 D     7   46  118  219  292  299  267  204  127   57   15    2  1652
24382 Q     8   64  259  494  653  699  624  425  231   95   20    2  3574
24382 S     0  112  449 1097  712  753  676  475  293  174   49    0  4845
24382 S'    0   20  141  275  361  400  357  221  104   38    5    0  1922
24507 B   -32  -23  -16  120  306  322  313  186   69  -11  -39  -35  1161
24507 D    10   56  147  238  311  293  271  214  132   67   24    6  1768
24507 Q    11   73  250  440  552  572  568  370  195   90   29    6  3156
24507 S     4   90  301  439  465  499  549  318  174   92   37    0  2994
24507 S'    1   18  103  201  241  279  297  156   64   22    5    0  1388
24817 B   -34  -21   -1   65  249  334  323  214   97   -4  -27  -38  1158
24817 D    24   60  142  225  282  268  251  206  134   80   34   16  1721
24817 Q    27   96  277  432  526  603  599  413  241  117   43   16  3389
24817 S    22  143  348  406  435  573  602  377  243  113   55    0  3440
24817 S'    3   36  133  207  244  335  348  207  108   37   10    0  1667
24908 B   -28  -22  -14   50  271  338  324  224  105   -1  -30  -30  1185
