20069  1 0-2     33    36    33    35    32    33    32    33
20069  1 3-7     23    20    22    22    24    23    24    22
20069  1 8-10    45    44    45    43    44    44    44    45
20069  2 0-2     32    38    35    38    32    30    27    31
20069  2 3-7     24    20    22    20    24    24    25    24
20069  2 8-10    44    42    43    42    44    46    47    45
20069  3 0-2     25    31    26    27    24    26    26    26
20069  3 3-7     26    23    28    23    26    20    24    25
20069  3 8-10    49    46    46    49    50    54    50    49
20069  4 0-2     29    28    26    27    27    28    29    29
20069  4 3-7     21    22    25    23    21    21    22    19
20069  4 8-10    51    50    49    50    52    51    49    51
20069  5 0-2      9     8     7     7     7     8     8     8
20069  5 3-7     12     9     9     9    10    11    10    10
20069  5 8-10    79    83    84    84    83    81    82    82
20069  6 0-2      5     5     5     5     4     6     5     5
20069  6 3-7      7     8     7     9     7     7     7     8
20069  6 8-10    88    88    88    87    88    87    88    87
20069  7 0-2      5     5     4     5     3     4     3     4
20069  7 3-7      8     7     8     9    10     7     7     9
20069  7 8-10    86    88    88    87    87    89    90    88
20069  8 0-2      5     5     4     4     4     5     5     5
20069  8 3-7      6     8     7     7     7     6     7     6
20069  8 8-10    89    87    89    89    88    89    88    89
20069  9 0-2      3     3     3     3     3     3     4     3
20069  9 3-7      6     4     4     6     5     5     5     6
20069  9 8-10    91    92    93    91    92    91    91    91
20069 10 0-2     10    12    11    10     9    10     9    11
20069 10 3-7     13    13    15    14    16    12    12    12
20069 10 8-10    78    75    75    77    75    78    79    77
20069 11 0-2     26    29    26    23    25    27    24    25
20069 11 3-7     20    20    22    23    24    20    22    22
20069 11 8-10    54    52    52    54    51    53    54    53
20069 12 0-2     32    33    33    31    33    33    31    32
20069 12 3-7     21    19    23    23    21    20    21    19
20069 12 8-10    47    48    44    46    45    47    48    49
20087  1 0-2     24    23    25    23    25    23    23    23
20087  1 3-7     29    30    26    29    28    27    31    31
20087  1 8-10    47    48    49    48    47    49    46    46
20087  2 0-2     26    22    21    21    21    19    21    22
20087  2 3-7     28    29    30    30    25    28    29    28
20087  2 8-10    46    49    49    49    53    52    49    51
20087  3 0-2     21    20    21    20    20    23    25    25
20087  3 3-7     30    32    31    30    30    28    27    25
20087  3 8-10    49    48    49    49    51    49    48    50
20087  4 0-2     23    20    20    21    23    23    24    26
20087  4 3-7     22    26    24    22    24    23    25    24
20087  4 8-10    54    54    56    56    53    54    51    50
20087  5 0-2     14    15    14    14    13    11    11    14
