20069 гололед                  6.82   9.91   7.29   2.51   0.32   0.75   0.34   0.62   0.44   1.13   1.07   4.33  35.40
20069 изморозь                 0.11   0.53   4.27   8.19  12.89  14.07  14.11  14.40  13.67  11.22   2.80   1.04  96.02
20069 обледенение всех видов  10.91  13.44  12.91  11.26  13.23  14.84  14.45  15.04  14.11  12.38   4.04   8.69 143.87
20087 гололед                  1.07   1.25   1.27   0.21    .      .      .     0.11    .     0.07   0.14   0.32   4.43
20087 изморозь                  .     0.27   1.91   1.88   2.53   1.91   1.95   1.77   1.52   0.86   0.59   0.30  15.32
20087 обледенение всех видов   4.25   3.59   4.34   2.26   2.56   1.91   1.95   1.89   1.52   0.95   0.84   2.66  28.52
20292 гололед                  6.06   9.77   8.77   2.67   0.73   1.38   0.91   0.57   1.23   2.06   1.86   4.34  39.00
20292 изморозь                 0.03   0.37   3.03   9.88  13.30  11.35   9.17   9.69  10.11   4.40   3.91   0.94  72.47
20292 обледенение всех видов  10.91  13.66  14.06  12.79  14.03  12.71  10.09  10.29  11.34   6.46   5.94   9.17 125.94
20476 гололед                  2.86   3.74   2.21   1.30   0.09   0.31    .      .      .      .     0.18   1.77  11.93
20476 изморозь                 0.07   0.21   1.19   5.00   7.55   7.44   6.76   8.53   7.02   5.70   3.45   0.53  51.64
20476 обледенение всех видов   4.72   5.51   5.95   7.12   7.61   7.73   6.76   8.53   7.02   5.89   3.91   5.63  73.58
20667 гололед                  0.44   0.08   0.22   1.12   0.85   0.55   0.11   0.13    .     0.18   0.50   1.53   5.23
20667 изморозь                  .      .     0.19   4.79  10.32  12.30  11.59   9.26   9.26   8.32   3.95   0.63  65.26
20667 обледенение всех видов   1.28   0.92   4.89   8.21  11.29  12.79  11.68   9.34   9.26   8.55   5.13   4.95  81.51
20674 гололед                  1.87   1.34   1.32   2.87   1.33   0.41    .     0.04   0.09   0.74   1.13   3.20  14.09
20674 изморозь                 0.04   0.02   0.40   4.76   9.28  10.04  10.17  10.04   9.26   6.24   3.09   0.39  62.79
20674 обледенение всех видов   4.23   3.47   7.85   9.51  10.63  10.46  10.17  10.04   9.33   7.26   4.89   8.48  94.94
20744 гололед                  0.10    .     0.05   0.11   0.87   1.10   0.78   0.46   0.83   1.54   1.59   1.02   8.17
20744 изморозь                  .     0.03   0.03   0.08   0.26   0.49   1.17   1.22   0.80   0.56   0.27   0.02   4.76
20744 обледенение всех видов   0.90   0.65   3.30   4.89   3.92   2.92   2.34   2.00   1.90   2.68   3.39   4.40  31.86
20891 гололед                   .     0.03   0.56   0.74   0.35   0.17   0.06   0.03    .     0.06   0.61   0.34   2.78
20891 изморозь                  .      .     1.06  11.32  18.35  19.11  20.64  17.56  15.34   5.37   2.39   0.14 105.59
