20069                0.21 0.22      0.28 0.28 0.30 0.31 0.31 0.33 0.34 0.33 0.36 0.36 0.35 0.37 0.36 0.35 0.37 0.38 0.36 0.38 0.38 0.37 0.39 0.37 0.37     
20087      0.22           0.26      0.33 0.29           0.30 0.34 0.33 0.31 0.33 0.32 0.32 0.34 0.32 0.32 0.34 0.36 0.34 0.36 0.35 0.33 0.35 0.36 0.39 0.45
20292                0.25 0.27                     0.35 0.34 0.37 0.38 0.35 0.38 0.39 0.37 0.40 0.40 0.38 0.39 0.42 0.38 0.43 0.40 0.38 0.39 0.43 0.42 0.44
20476                     0.19      0.21 0.24 0.26 0.28 0.28 0.31 0.32 0.30 0.33 0.32 0.31 0.33 0.33 0.32 0.34 0.35 0.32 0.35 0.34 0.33 0.36               
20982                0.12 0.14      0.16 0.17 0.19 0.20 0.21 0.21 0.22 0.23 0.22 0.24 0.24 0.25 0.25 0.25 0.26 0.25 0.26 0.26 0.27 0.28 0.31 0.32          
21946                0.10 0.11      0.14 0.15 0.16 0.17 0.19 0.18 0.19 0.21 0.21 0.22 0.23 0.22 0.23 0.24 0.23 0.24 0.25 0.25 0.26 0.28 0.30               
22113                     0.17           0.20           0.24           0.25 0.26 0.26 0.27 0.29 0.29 0.29 0.31 0.30 0.30 0.33 0.34 0.30                    
22165                               0.22 0.24 0.25 0.27 0.27 0.30 0.30 0.30 0.35 0.33 0.33 0.33 0.34 0.36 0.36 0.35 0.36 0.36 0.39 0.39 0.42               
22235                               0.17 0.16 0.19 0.18 0.21 0.22 0.21 0.24 0.22 0.22 0.23 0.23 0.23 0.24 0.25 0.26 0.26 0.30 0.32 0.31                    
22471                     0.17      0.20 0.21 0.22 0.22 0.24 0.23 0.23 0.25 0.24 0.25 0.25 0.26 0.27 0.27 0.30 0.31 0.32 0.33 0.38 0.33                    
22619                               0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.20 0.20 0.21 0.22 0.22 0.22 0.24 0.26 0.29 0.32 0.28                              
22676                     0.14      0.15 0.16 0.16 0.18 0.19 0.21 0.20 0.20 0.20 0.22 0.21 0.22 0.23 0.24 0.27 0.30 0.31 0.34                              
22768                     0.13      0.17 0.15 0.17 0.18 0.18 0.19 0.19 0.19 0.20 0.21 0.21 0.22 0.23 0.24 0.28 0.31 0.30 0.33                              
22802                               0.15 0.16 0.16 0.17 0.18 0.22 0.22 0.22 0.23 0.24 0.25 0.26 0.27 0.29 0.32 0.33 0.34                                   
22837                               0.16 0.18 0.18 0.19 0.20 0.20 0.20 0.21 0.23 0.24 0.23 0.24 0.25 0.27 0.29 0.31 0.34                                   
23022                                              0.26 0.29 0.29 0.27 0.30 0.29                               0.33 0.34 0.35 0.34 0.33 0.35               
23032                0.23 0.18      0.23 0.25 0.27 0.26 0.28 0.29 0.28 0.29 0.29 0.29 0.30 0.31 0.30 0.30 0.31 0.31 0.31 0.31 0.32 0.32 0.37               
23058                0.12 0.17                     0.26 0.26 0.28 0.29 0.28 0.29                               0.31 0.32 0.31                              
23242                               0.19 0.22 0.24 0.25 0.28 0.29 0.29 0.29 0.29 0.29 0.30 0.30 0.30 0.30 0.30 0.31 0.31 0.32 0.33 0.33 0.34               
23256                     0.15           0.20           0.21           0.23           0.24      0.25 0.24 0.25 0.25 0.25 0.27 0.26 0.27 0.26               
23324                0.14 0.15      0.18 0.20 0.20 0.21 0.21 0.21 0.22 0.22 0.23 0.23 0.23 0.23 0.24 0.24 0.25 0.25 0.27 0.28 0.29 0.28                    
23330                0.12 0.18      0.18 0.19 0.20 0.20 0.21 0.22 0.22 0.23 0.23 0.23 0.24 0.25 0.24 0.25 0.25 0.27 0.28 0.29 0.28 0.30 0.36               
23405                0.13 0.15      0.15 0.18 0.20 0.20 0.20 0.21 0.22 0.23 0.23 0.24 0.24 0.24 0.25 0.25 0.27 0.28 0.29 0.29 0.28                         
23711                0.14 0.15      0.15 0.18 0.18 0.19 0.20 0.20 0.24 0.22 0.23 0.23 0.24 0.25 0.25 0.26 0.28 0.29 0.31 0.33 0.29                         
23914                     0.17      0.18 0.19 0.21 0.21 0.23 0.23 0.24 0.25 0.25 0.26 0.26 0.26 0.27 0.28 0.30 0.33 0.34 0.38                              
24688                0.17 0.11      0.12 0.13 0.13 0.13 0.14 0.14 0.14 0.14 0.14 0.14 0.15 0.15 0.15 0.16 0.16 0.17 0.18 0.20 0.23 0.23                    
24738                0.11 0.14      0.14 0.15 0.15 0.16 0.17 0.17 0.18 0.18 0.18 0.19 0.19 0.19 0.20 0.20 0.21 0.21 0.23 0.25                              
25173                               0.26 0.28 0.32 0.31 0.31 0.33 0.32 0.31 0.33 0.33 0.33 0.34 0.34 0.34 0.33 0.33 0.33 0.33                              
25282                               0.22 0.24 0.28 0.29 0.27 0.30 0.30 0.29 0.31 0.31 0.30 0.32 0.32 0.32 0.32 0.33 0.32 0.33                              
25538                               0.13 0.15 0.16 0.16 0.17 0.17 0.17 0.18 0.19 0.19 0.20 0.21 0.21 0.21 0.21 0.22 0.22 0.23 0.25 0.30 0.37               
25563                     0.16      0.22 0.21 0.23 0.25 0.23 0.24 0.26 0.26 0.26 0.27 0.27 0.27 0.27 0.28 0.28 0.27 0.29 0.28                              
25927                                                   0.27           0.29      0.30 0.29 0.29 0.29 0.29 0.30 0.30 0.31 0.34 0.32 0.34                    
25932                                                   0.22           0.26           0.25           0.26                                                  
26157                               0.13 0.15 0.19 0.17 0.19 0.21 0.21 0.21 0.22 0.23 0.23 0.24 0.27 0.28 0.32                                             
26275                               0.11 0.15 0.14 0.15 0.15 0.18 0.18 0.18 0.19 0.19 0.20 0.22 0.24 0.26 0.31                                             
26359                               0.15 0.17 0.15 0.16 0.16 0.19 0.20 0.21 0.22 0.23 0.22 0.26 0.28 0.29 0.30                                             
26997                                              0.19 0.21 0.23 0.24 0.25 0.26 0.25 0.25 0.27 0.28 0.29 0.35                                             
27037                               0.17 0.15 0.17 0.18 0.20 0.21 0.22 0.23 0.24 0.25 0.25 0.27 0.28 0.28 0.31 0.29 0.23                                   
27051                               0.15 0.14 0.17 0.17 0.20 0.19 0.20 0.21 0.22 0.24 0.23 0.24 0.26 0.25 0.29 0.31 0.32                                   
27333                               0.19 0.18 0.20 0.21 0.23 0.23 0.23 0.23 0.25 0.27 0.27 0.28 0.30 0.31 0.34 0.36 0.30                                   
27648                               0.15 0.17 0.18 0.18 0.21 0.22 0.23 0.23 0.25 0.25 0.26 0.28 0.29 0.31 0.32                                             
27675                                    0.15 0.17 0.17 0.19 0.21 0.22 0.24 0.25 0.25 0.27 0.29 0.29 0.31 0.33                                             
27707                                              0.17 0.19 0.20 0.21 0.22 0.24 0.25 0.26 0.27 0.27 0.29 0.29                                             
27823                               0.21 0.21 0.23 0.24 0.25 0.26 0.26 0.26 0.28 0.29 0.29 0.30 0.31 0.32 0.33 0.39                                        
27857                                              0.20 0.22 0.22 0.26 0.26 0.26 0.29 0.29 0.31 0.33 0.34 0.36                                             
27995                                              0.16 0.20 0.19 0.19 0.20 0.22 0.22 0.24 0.25 0.25 0.27 0.29 0.29                                        
28064                               0.17 0.19 0.19 0.20 0.21 0.22 0.21 0.22 0.23 0.22 0.24 0.24 0.24 0.26 0.27 0.28 0.32 0.23                              
28224                               0.15 0.18 0.17 0.18 0.19 0.19 0.19 0.21 0.22 0.22 0.23 0.24 0.24 0.25 0.27 0.29 0.29                                   
28255                               0.15 0.18 0.21 0.20 0.23 0.21 0.22 0.23 0.24 0.24 0.24 0.25 0.25 0.26 0.30 0.31 0.29                                   
28275                               0.15 0.18 0.19 0.18 0.20 0.21 0.21 0.23 0.23 0.23 0.25 0.26 0.26 0.27 0.30 0.30 0.35                                   
28418                               0.14 0.17 0.18 0.19 0.21 0.22 0.23 0.24 0.25 0.25 0.26 0.26 0.27 0.28 0.29 0.30 0.31                                   
28434                               0.18 0.20 0.22 0.21 0.23 0.22 0.21 0.23 0.23 0.23 0.24 0.25 0.25 0.27 0.29 0.33 0.29                                   
28493                     0.21      0.19 0.19 0.21 0.20 0.22 0.22 0.22 0.23 0.24 0.24 0.24 0.25 0.24 0.25 0.27 0.31 0.30                                   
28552                               0.18 0.20 0.19 0.20 0.22 0.23 0.23 0.25 0.26 0.25 0.27 0.28 0.28 0.29 0.32 0.32                                        
28573                               0.17 0.19 0.20 0.20 0.21 0.22 0.22 0.23 0.23 0.23 0.24 0.24 0.24 0.25 0.29 0.29                                        
28666                               0.19 0.20 0.21 0.20 0.23 0.24 0.24 0.26 0.27 0.26 0.28 0.28 0.28 0.30 0.32 0.33                                        
28698                               0.16 0.17 0.19 0.19 0.20 0.21 0.21 0.22 0.22 0.23 0.23 0.23 0.24 0.24 0.29 0.28                                        
28704                               0.20 0.17 0.20 0.21 0.25 0.26 0.26 0.27 0.29 0.29 0.29 0.31 0.31 0.32 0.34 0.35                                        
28722                               0.18 0.20 0.20 0.20 0.21 0.23 0.23 0.24 0.26 0.26 0.26 0.27 0.28 0.29 0.32 0.34 0.38                                   
28748                               0.16 0.16 0.19 0.19 0.21 0.21 0.22 0.23 0.24 0.24 0.24 0.26 0.26 0.29 0.32                                             
29313                     0.15      0.17 0.19 0.20 0.19 0.20 0.20 0.20 0.21 0.22 0.21 0.22 0.23 0.26 0.28 0.29 0.27 0.30 0.30                              
29328                     0.19      0.16 0.20 0.20 0.19 0.21 0.20 0.20 0.21 0.22 0.22 0.23 0.23 0.23 0.23 0.27 0.31 0.33                                   
29570                               0.14 0.15 0.16 0.17 0.19 0.20 0.18 0.19 0.21 0.20 0.21 0.21 0.22 0.22 0.23                                             
29594                     0.15      0.17 0.19 0.19 0.19 0.21 0.21 0.21 0.21 0.22 0.22 0.22 0.23 0.24 0.25 0.26 0.28 0.28                                   
29612                               0.15 0.16 0.18 0.18 0.20 0.21 0.22 0.23 0.24 0.24 0.25 0.25 0.25 0.26 0.27 0.28 0.27                                   
29645                               0.16 0.18 0.18 0.18 0.21 0.21 0.22 0.23 0.23 0.24 0.25 0.25 0.26 0.26 0.29 0.31 0.33                                   
29866                               0.13 0.17 0.17 0.16 0.17 0.18 0.19 0.21 0.25 0.20 0.21 0.22 0.22 0.22                                                  
29939                               0.14 0.17 0.18 0.18 0.19 0.20 0.22 0.23 0.23 0.23 0.23 0.24 0.25 0.26 0.29 0.32                                        
30054                0.17 0.12      0.15 0.16 0.17 0.18 0.19 0.19 0.19 0.21 0.21 0.21 0.22 0.23 0.22 0.23 0.24 0.25 0.28 0.29                              
30230                     0.13      0.14 0.15 0.16 0.17 0.18 0.18 0.19 0.19 0.19 0.19 0.20 0.21 0.21 0.21 0.22 0.24 0.26 0.31                              
30612                               0.15 0.16 0.16 0.18 0.18 0.17 0.18 0.18 0.19 0.19 0.20 0.20 0.21 0.21 0.22 0.24 0.22                                   
30650                0.09           0.11 0.11 0.11 0.12 0.12 0.12 0.12 0.12 0.12 0.13 0.13 0.13 0.13 0.14 0.14 0.15 0.13 0.14 0.14                         
30777                               0.13 0.12 0.12 0.13 0.13 0.14 0.14 0.14 0.15 0.15 0.15 0.15 0.16 0.19 0.20 0.16 0.16 0.17                              
30879                     0.13      0.18 0.14 0.14 0.15 0.15 0.15 0.15 0.16 0.16 0.16 0.17 0.17 0.18 0.18 0.19 0.19 0.14                                   
30935                               0.10 0.17 0.18 0.13 0.13 0.13 0.14 0.15 0.15 0.16 0.16 0.18 0.17 0.17                                                  
30949                                              0.15           0.15           0.16           0.20           0.16                                        
30965                               0.11 0.09 0.12 0.16 0.13 0.13 0.14 0.16 0.15 0.16 0.16 0.16 0.17 0.17           0.16                                   
31088                                                   0.21           0.24           0.25 0.26 0.26 0.25 0.26                                             
31478                0.13 0.13      0.14 0.13 0.14 0.15 0.15 0.16 0.16 0.16 0.16 0.17 0.17 0.17 0.18 0.18 0.19 0.20 0.21 0.21                              
31707                                    0.18 0.19 0.19 0.20 0.20 0.18 0.19 0.20 0.19 0.20 0.20 0.20 0.23                                                  
32061                               0.15 0.15 0.18 0.18 0.22 0.23 0.24 0.25 0.25 0.25 0.26 0.27 0.27 0.27 0.31 0.32 0.33                                   
32287                               0.18 0.20 0.21 0.24 0.25 0.26 0.26 0.25 0.28 0.28 0.28 0.29 0.29 0.30 0.31 0.33 0.32 0.35 0.38 0.41                    
32477                               0.17 0.19 0.22 0.22 0.23 0.25 0.25 0.25 0.26 0.27 0.27 0.27 0.27 0.28 0.28 0.29 0.30 0.31                              
32562                               0.20 0.18 0.22 0.24 0.26 0.27 0.27 0.28 0.29 0.30 0.32 0.33 0.33 0.33 0.32 0.35 0.35 0.35                              
32618                                                   0.26           0.32           0.34      0.32 0.37      0.40 0.38 0.39                              
34110                                              0.21 0.22 0.24 0.26 0.26 0.28 0.29 0.29 0.30 0.31 0.32 0.31                                             
34123                                              0.18 0.18 0.20 0.23 0.19 0.23 0.23 0.23 0.25 0.27 0.31 0.28                                             
34152                                              0.19 0.23 0.23 0.25 0.26 0.29 0.29 0.30 0.30 0.32 0.35                                                  
34163                                              0.21 0.22 0.24 0.24 0.26 0.27 0.28 0.29 0.30 0.31 0.33 0.35                                             
34186                                    0.17 0.20 0.20 0.22 0.23 0.23 0.24 0.25 0.26 0.28 0.28 0.27 0.30 0.31                                             
34579                                              0.20 0.19 0.21 0.21 0.22 0.21 0.24 0.26 0.27 0.26 0.26                                                  
34740                                              0.18 0.17 0.23 0.19 0.21 0.25 0.22 0.25 0.27 0.25 0.23                                                  
34949                                              0.19 0.21 0.19 0.21 0.24 0.26 0.24 0.24 0.28 0.22 0.23                                                  
35011                               0.19 0.18 0.23 0.21 0.24 0.25 0.25 0.25 0.26 0.27 0.29 0.30 0.30 0.33 0.35 0.32                                        
36038                               0.18 0.18 0.20 0.23 0.24 0.25 0.26 0.28 0.28 0.27 0.28 0.28 0.28 0.29 0.33 0.33 0.33                                   
36096                               0.11 0.11 0.12 0.12 0.13 0.14 0.14 0.15 0.15 0.15 0.16 0.17 0.17 0.21                                                  
36229                               0.13 0.15 0.14 0.14 0.16 0.16 0.18 0.18 0.18 0.19 0.19 0.20 0.20 0.21 0.24                                             
36259                                              0.22 0.26 0.24 0.22 0.23 0.22 0.23 0.24 0.24 0.21 0.22                                                  
36307                                              0.14 0.14 0.15 0.14 0.15 0.15 0.15 0.15 0.15 0.16 0.17 0.20 0.18                                        
37061                                              0.19 0.22 0.18 0.20 0.18 0.17 0.20 0.24                                                                 
37126                                              0.17 0.16 0.20 0.19 0.20 0.22 0.22 0.24 0.26 0.24 0.27 0.19                                             
37663                                              0.15 0.12 0.13 0.11 0.12 0.13 0.17 0.15 0.12 0.20 0.18                                                  
