20069  277  19.07  18.08  21.09  21.08  16.09  13.10   4.06  21.06   6.07   5.06  23.06  15.07   19.7   66.0
20087  288  17.07  30.08   1.10  20.08  14.09   1.10  10.06  28.06  12.07  10.06  28.06  13.07   22.2   73.0
20292  287  31.07  24.08  13.09   2.09  15.09   9.10  13.06  29.06  12.07  13.06  30.06  12.07    5.3   48.0
20476  261  17.07  31.08  12.10   5.09  25.09  20.10  27.05  15.06   3.07  27.05  19.06  15.07   11.9   67.0
20667  260   3.09   1.10  16.11  15.09   8.10  16.11   8.06  25.06  10.07   8.06  25.06  10.07   37.7   90.0
20674  256  25.07  13.09  16.10  11.09   1.10   4.11  28.05  15.06  14.07   6.06  19.06  14.07   17.9   90.0
20891  244  25.08  16.09  13.10   8.09  27.09  22.10  22.04  30.05  13.06  15.05   6.06   4.07   23.8   90.0
20982  246   1.08  21.09  19.10  12.09   1.10  20.10  13.05   4.06  20.06  25.05   8.06  27.06   42.2  113.0
21432  270  16.07  31.08  29.09  25.08  18.09  13.10  31.05  16.06  15.07   3.06  19.06  15.07   11.2   89.0
21802  250  10.08  22.09  15.10  15.09  29.09  19.10  21.05   6.06   1.07  23.05   9.06   5.07   24.6   90.0
21908  240   9.08  18.09   7.10  13.09  29.09  15.10  12.05  27.05  11.06  17.05  31.05  24.06   28.1   71.0
21921  242  20.08  19.09   6.10  16.09  28.09  11.10  13.05  28.05  15.06  13.05  31.05  18.06   35.9   92.0
21931  234  21.08  20.09   9.10  16.09  28.09  12.10  26.04  21.05   9.06  10.05   2.06   3.07   19.6   52.0
21946  244  22.08  21.09  13.10   5.09  29.09  13.10   8.05  30.05  19.06   8.05   4.06  25.06   27.3   90.0
21982  242   9.08  16.09  25.10   8.09   4.10  25.10  19.05   5.06  19.06  19.05   6.06  23.06    5.3   40.0
22113  193  19.09  11.10  10.11  29.09  28.10  30.11  28.03   8.05   5.06   1.05  21.05  15.06   18.4   84.0
22165  186  21.09  21.10   1.12   8.10  15.11  10.01  31.01  20.05  21.06   8.04  28.05  21.06   40.3  105.0
22217  184  19.09  14.10   6.11   6.10  29.10  19.11  18.04   1.05  13.05  20.04   9.05  29.05   33.2   90.0
22235  198  19.09   9.10   3.11   3.10  25.10   1.12  19.04  11.05  28.05   4.05  20.05   8.06   32.1   89.0
22471  186  17.09  10.10   1.11   1.10  27.10  19.11  31.03  30.04  23.05  17.04  17.05  14.06   28.5  116.0
22520  161  27.09  24.10  19.11   9.10  11.11  21.12  30.03  22.04  12.05  12.04   5.05  31.05   15.6   67.0
22550  168  19.09  15.10  20.11   8.10   4.11   8.12  12.03  21.04   6.05  14.04  10.05   6.06   24.7   77.0
22619  161  26.09  23.10  27.11  13.10  12.11   8.12   8.04  24.04  11.05  11.04   5.05  29.05   24.9   83.0
22641  165  19.09  14.10   7.11   8.10   5.11   8.12   1.04  19.04   8.05  13.04   7.05  31.05   27.5   79.0
22676  176  11.09  11.10   9.11   2.10  30.10   1.01  31.03  26.04  12.05  31.03  11.05  15.06   28.7   91.0
22768  163  20.09  14.10   5.11   8.10   5.11   7.12  27.03  18.04   2.05   7.04   5.05   8.06   29.1   92.0
22802  137   9.10  29.10  22.11  26.10  25.11  12.01   8.03  12.04   2.05   8.04  23.04  19.05   25.0   98.0
22820  148  27.09  19.10  15.11  10.10  13.11  18.12  12.03  11.04  29.04   9.04   3.05  28.05   19.1   70.0
22837  144  20.09  22.10  15.11  16.10  16.11   6.01  23.02   8.04  27.04   2.04  29.04  28.05   21.3   77.0
23022  229  17.08   4.10   1.11  28.09  17.10   3.11  20.04   2.06  19.06  23.05  10.06  22.06    7.1   51.0
23032  232  25.07  29.09  23.10  29.09  13.10   7.11  21.04   2.06  15.06  19.05   8.06  21.06   12.8   75.0
23058  237   7.09   6.10  14.11  23.09  12.10  14.11  13.05   5.06  26.06  18.05   7.06  28.06   34.1   86.0
23074  245  18.08  25.09  14.10  22.09   4.10  21.10  11.05   6.06  24.06  19.05   8.06  24.06   55.4  111.0
23205  214  15.09   5.10  26.10  25.09  17.10  19.11  21.04  19.05  11.06   8.05  28.05  17.06   35.9   93.0
23242  232  21.09   8.10   1.12  28.09  13.10   1.12  12.05   2.06  19.06  16.05   4.06  30.06   38.8  104.0
23256  233  10.09  28.09  17.10  25.09   8.10  22.10   4.05  28.05  17.06  19.05   2.06  18.06   28.7  116.0
23274  234   5.09  28.09  16.10  22.09   6.10  22.10  10.05  28.05  11.06  10.05   1.06  22.06   48.0  128.0
23324  197  30.08   2.10  26.10  28.09  15.10   4.11  30.11  30.04  10.06   1.05  28.05  22.06   28.9   89.0
23330  216  11.09   2.10  16.10   1.10  14.10  30.10  16.04  18.05  14.06   6.05  27.05  21.06   35.7   99.0
23383  234  30.08  27.09  22.10  10.09   6.10  23.10  27.04  28.05  16.06  27.04  30.05  16.06   45.9   94.0
23405  195  11.09   7.10   3.11  29.09  19.10  24.11   6.04   3.05  28.05  24.04  17.05  10.06   38.3   99.0
23445  212  12.08   3.10  25.10  26.09  14.10   4.11  13.04  14.05   4.06   6.05  26.05  21.06   44.1  107.0
23463  227   6.09   3.10  23.10  23.09   8.10  23.10  17.04  23.05  10.06  14.05  28.05  17.06   52.7  113.0
23472  224   5.09  30.09  17.10  23.09   7.10  23.10  18.04  20.05   5.06  13.05  27.05  13.06   58.5  154.0
23552  218  11.09   2.10  25.10  21.09  12.10   2.11  19.04  19.05   3.06  29.04  25.05  17.06   46.6  101.0
23631  198  15.09   8.10  27.10  25.09  17.10   6.11  14.04   4.05  30.05  20.04  17.05   6.06   36.1   97.0
23662  213  30.08  28.09  17.10  19.09  13.10   3.11  19.04  15.05  31.05   3.05  20.05  15.06   47.3  110.0
23678  207  26.09  11.10  30.10   1.10  15.10   1.11   6.04  11.05   1.06  18.04  17.05   1.06   55.8  126.0
23711  188  15.09   5.10  30.10  30.09  20.10  20.11   6.04  27.04  20.05  14.04  13.05   5.06   41.6  103.0
23724  181  17.09   7.10  27.10  27.09  23.10  25.11   4.04  23.04  10.05   4.04  10.05  16.06   31.9   96.0
23734  195  25.08   3.10  27.10   1.10  18.10   6.11  10.04   2.05  24.05  20.04  15.05   6.06   45.7   90.0
23867  192   5.09   2.10  25.10   3.10  20.10   6.11   3.04  30.04  29.05  23.04  15.05   6.06   35.2   90.0
