20069    2.6    3.6    9.5   12.0   12.1   32.7   98.0  109.8   76.3    9.3    9.6    0.2   15.1  320.5  330.6      4      7      7
20087    4.8   12.3    1.5   10.0   13.2   28.1   66.4   66.7   57.0    4.1    6.8    4.9    7.9  204.7  209.3      4      7      7
20292    5.9     .     2.8    7.7   10.0   44.9   80.8   92.0   43.9    6.5   11.1    4.5   10.1  251.2  257.6      3      6      6
20476     .     4.1     .     7.3    9.3   37.5   76.8   77.0   40.4    8.2    1.9     .     7.6  218.8  221.4      4      8      8
20667   20.0   17.8   23.9   29.4   38.2   87.5  103.6   68.2   62.1   37.7   26.8   19.5   99.5  369.0  447.5      6      7      7
20674    5.2     .     8.5    8.6   18.9   75.6  114.5   97.6   48.9   23.4    7.9    5.7   29.2  352.2  379.3      5      7      7
20744   20.2    5.5    7.3   20.4   18.8   33.6   40.0   30.0   22.4   15.8    9.3    9.6   26.5  133.7  157.5      5      6      6
20891   36.8   52.1   14.8    4.8    8.6    7.6    2.2   11.0    9.8    3.6   14.7   22.3  106.6   26.4  132.0      7      4      6
20982    5.5    9.7    6.5    2.8    6.1    7.0    8.5   24.5   17.4   12.4   11.5   10.9   21.5   54.4   72.9      5      4      4
21432    3.7   24.6    4.1    4.2    8.0   18.2   47.2   37.5   10.5    9.9    8.3     .    13.7  105.8  113.1      4      4      4
21802    0.2    4.2     .     5.9    5.1    3.5    3.8    8.7    7.7    3.9    3.2    3.9    4.1   13.6   15.9      3      4      4
21908    4.1    9.2     .      .     3.7    4.9    6.8   17.0   13.5    6.2     .     8.2    8.2   25.7   27.7      4      6      6
21921   15.3    4.9     .      .      .      .     2.1    3.2    2.0    9.4    3.1   10.8   13.6    3.0   10.5      5      2      4
21931    4.1     .     4.5    8.1   16.2    7.5    9.5   15.1   13.0    8.3    8.6   11.9   12.9   50.0   56.9      4      5      5
21946    3.4    5.2    8.9   12.5   25.2   19.8   12.8   19.0   28.2   12.0    8.0    9.7   21.3  107.6  127.4      4      4      4
21982   19.5   11.1   22.4   10.4   31.6   53.6   68.5   96.2   43.0   15.4   11.0    9.0   32.6  275.5  302.0      6      7      7
22113   13.7   13.7   12.2    5.0    5.1    4.9    5.1    8.9   12.7    9.6   17.3   13.0   56.3   27.3   83.6      5      4      4
22165   16.3   11.3   20.0   41.0   66.0   82.1   95.3   76.8   47.4   21.5   13.0   13.7   60.9  382.2  441.0      6      8      8
22217    4.4    5.7    9.0   19.2    8.7    4.4    6.7    9.9   15.7   13.1    4.3    5.6   26.5   46.3   72.8      4      4      4
