20069  0-2 Í    75    75    77    75    32    19    19    18    15    38    64    70
20069  0-2 Î    35    33    28    29     8     4     5     4     3    10    26    32
20069  3-7 Í     9     9     9    10    15    14    12    12    13    17    12     9
20069  3-7 Î    19    21    23    20     9     7     7     6     5    11    20    18
20069 8-10 Í    17    17    15    16    54    67    68    70    72    45    24    21
20069 8-10 Î    46    46    50    51    83    89    88    91    93    78    55    49
20087  0-2 Í    78    78    80    76    42    27    28    26    22    46    68    74
20087  0-2 Î    27    25    24    23    12     6     6     5     4    11    23    22
20087  3-7 Í     8     8     8    10    13    14    13    12    14    15    11     9
20087  3-7 Î    24    25    26    23    14     9    10     8     9    16    24    25
20087 8-10 Í    15    14    12    15    45    59    60    62    65    40    22    18
20087 8-10 Î    49    50    50    54    74    85    84    87    88    73    53    53
20292  0-2 Í    73    75    76    66    32    20    23    15    13    29    58    71
20292  0-2 Î    17    16    16    14     7     4     5     3     3     5    11    16
20292  3-7 Í    14    13    13    16    18    19    17    17    17    22    18    14
20292  3-7 Î    25    26    28    26    15    12    14    11     9    14    24    25
20292 8-10 Í    13    13    11    18    50    61    61    69    70    50    25    16
20292 8-10 Î    58    59    56    60    78    85    81    87    88    81    65    59
20476  0-2 Í    84    86    84    80    43    26    34    27    22    43    68    78
20476  0-2 Î    43    42    41    34    17     8    13     8     5    15    34    38
20476  3-7 Í     4     5     5     6    10    11    11    14    13    13     8     6
20476  3-7 Î    17    19    19    20    13    10    12    12     9    15    17    18
20476 8-10 Í    11    10    11    15    47    63    55    59    65    44    24    16
20476 8-10 Î    41    40    40    45    70    82    76    80    86    70    49    45
20667  0-2 Í    75    77    78    73    38    34    46    29    21    30    60    70
20667  0-2 Î    37    38    36    34    14    12    17     9     5     9    28    30
20667  3-7 Í     5     5     4     5     7     7     9    11    13    14     6     4
20667  3-7 Î    15    16    16    17    12    12    16    12    11    15    15    14
20667 8-10 Í    20    18    18    22    55    59    45    60    67    57    34    26
20667 8-10 Î    48    46    48    50    73    77    68    79    85    76    57    56
20674  0-2 Í    66    68    68    60    25    20    31    22    14    25    50    59
20674  0-2 Î    31    31    29    25     9     6    10     6     4    11    23    28
20674  3-7 Í    13    13    12    14    14    11    12    15    15    17    15    14
20674  3-7 Î    18    19    18    18    10     8    12    10     8    12    17    18
20674 8-10 Í    21    19    20    26    61    70    57    63    71    58    35    28
