20069  0   5.5   5.3   6.0   6.1   8.8   9.2   9.1   9.3   9.5   8.2   6.5   5.8   7.4
20069  3   5.6   5.5   6.2   6.2   8.7   9.2   9.1   9.3   9.5   8.3   6.3   5.8   7.5
20069  6   5.5   5.8   6.2   6.1   8.6   9.1   9.2   9.3   9.5   8.6   6.4   5.8   7.5
20069  9   5.7   6.1   6.2   6.0   8.7   9.2   9.2   9.3   9.4   8.6   6.5   5.9   7.6
20069 12   5.6   5.9   6.2   6.0   8.7   9.2   9.1   9.4   9.4   8.5   6.5   5.9   7.5
20069 15   5.5   5.7   6.2   6.1   8.6   9.2   9.1   9.3   9.5   8.4   6.4   5.8   7.5
20069 18   5.3   5.2   5.8   6.1   8.7   9.2   9.1   9.2   9.5   8.2   6.2   5.9   7.4
20069 21   5.5   5.3   5.8   6.1   8.7   9.2   9.1   9.3   9.5   8.2   6.4   5.7   7.4
20087  0   6.2   6.2   6.3   6.7   8.2   8.9   8.8   9.0   9.2   7.9   6.3   6.6   7.5
20087  3   6.0   6.4   6.5   6.6   8.2   8.9   8.7   9.1   9.2   8.2   6.3   6.5   7.6
20087  6   6.2   6.5   6.4   6.6   8.2   8.9   8.8   9.1   9.1   8.4   6.6   6.5   7.6
20087  9   6.1   6.4   6.3   6.4   8.0   8.9   8.8   9.2   9.2   8.3   6.6   6.6   7.6
20087 12   6.1   6.4   6.4   6.4   8.0   8.8   8.9   9.0   9.2   8.2   6.7   6.4   7.5
20087 15   6.0   6.0   6.3   6.5   8.0   8.9   8.9   9.1   9.2   7.8   6.3   6.5   7.5
20087 18   6.1   6.1   6.2   6.7   8.0   8.9   8.9   9.1   9.2   7.8   6.6   6.5   7.5
20087 21   6.1   6.1   6.2   6.7   8.1   8.9   8.8   9.1   9.2   7.8   6.3   6.5   7.5
20292  0   6.8   7.1   7.1   7.4   8.7   9.1   8.8   9.2   9.1   8.7   7.6   7.1   8.1
20292  3   7.0   7.2   6.9   7.3   8.6   9.0   8.8   9.2   9.2   8.9   7.7   7.1   8.1
20292  6   7.0   7.3   6.6   6.9   8.6   8.9   8.7   9.0   9.1   8.9   7.9   7.1   8.0
20292  9   7.1   7.3   6.9   6.9   8.3   8.8   8.6   9.0   9.2   8.9   7.8   7.1   8.0
