20069 21 27 31 34 35 36 37 40
20087 20 25 27 29 30 31 31 33
20292 20 26 29 32 33 34 35 37
20476 22 29 32 35 37 38 39 42
20667 18 24 27 30 31 32 33 36
20674 22 29 32 34 35 36 37 39
20744 33 41 45 48 50 51 52 55
20891 17 23 25 27 28 29 30 32
20982 21 27 30 32 33 34 35 37
21432 19 25 29 31 32 34 35 38
21802 12 23 32 38 42 46 49 59
21908  6 14 20 26 29 32 35 43
21921 15 21 24 26 27 28 29 31
21931 14 21 26 29 31 33 34 39
21946 14 21 25 28 30 32 33 37
21982 26 30 33 35 35 36 37 39
22113 21 27 30 32 34 35 36 38
22165 24 29 31 32 33 34 34 36
22217 16 19 21 23 23 24 25 26
22235 14 19 21 23 24 25 26 28
22471 16 21 24 26 27 28 29 32
22520 17 24 27 30 31 32 33 36
22550 14 19 22 24 25 26 27 29
22619 16 21 24 26 27 28 29 31
22641 14 20 23 25 27 28 29 32
22676 16 20 23 25 25 26 27 29
22768 14 20 23 25 26 27 28 31
22802 16 20 22 24 25 25 26 28
22820 15 19 21 23 23 24 25 26
22837 14 20 23 25 26 27 28 30
23022 23 29 33 35 36 38 39 41
23032 21 27 30 32 33 35 35 38
23058 18 25 29 31 33 34 35 38
23074 19 25 28 30 32 33 34 36
23205 16 22 25 28 29 30 31 34
23242 20 25 28 30 31 32 33 35
23256 19 25 28 30 31 32 33 36
23274 15 20 23 24 25 26 27 29
23324 15 21 24 26 27 28 29 32
23330 17 23 26 28 29 30 31 33
23383 10 17 21 24 26 28 29 33
23405 15 20 23 25 27 28 29 31
23445 14 19 22 24 25 26 27 30
23463  9 15 18 20 22 23 24 27
23472 17 21 23 24 25 26 26 28
23552 15 19 22 23 24 25 26 28
23631 15 22 26 29 31 32 33 37
23662 12 18 20 23 24 25 26 28
23678 13 17 19 20 21 21 22 23
23711 15 19 21 23 24 24 25 27
23724 11 17 20 22 24 25 26 29
23734 13 19 23 26 27 29 30 34
23867 13 20 23 26 28 29 30 33
23884 11 16 18 21 22 23 24 26
23891 14 20 23 25 27 28 29 31
23914 13 19 22 25 26 28 29 32
23921 14 19 22 24 25 26 26 29
23933 14 18 21 22 23 24 25 26
23955 16 21 24 26 27 28 28 31
23966  8 12 15 16 17 18 19 21
23986 16 22 25 27 28 29 30 33
24125 14 19 21 22 23 24 25 26
24136 10 18 23 28 30 32 34 40
24143 16 22 25 27 28 30 30 33
24266 10 15 19 21 22 24 25 28
24329  9 14 18 21 23 24 25 29
24343 13 22 27 31 34 36 38 43
24382 13 17 18 20 21 21 22 23
24507 14 20 24 26 28 29 30 33
24606 12 19 23 25 27 29 30 33
24641 11 17 20 22 24 25 26 29
24661 12 21 27 31 34 37 38 44
24671 12 17 21 23 25 26 27 30
24688 10 17 21 24 26 27 29 33
24713  9 15 19 22 24 25 26 30
24738 12 19 22 25 27 28 29 32
24790 12 18 21 23 25 26 27 29
24817 13 17 19 21 22 23 23 25
24908 13 17 20 22 23 24 24 27
24959 13 18 20 21 22 23 23 25
24966 12 16 18 20 21 22 23 25
24967  9 16 20 23 24 26 27 31
25062 19 25 29 31 33 34 35 38
25138 12 19 23 27 29 31 32 36
25173 22 27 29 31 32 33 34 36
25206 10 15 17 19 20 21 22 24
25248 12 17 20 23 24 25 26 28
25282 21 28 31 33 34 36 36 39
25325 11 16 19 21 22 23 24 27
25356 12 18 22 24 26 27 28 31
25400 14 18 20 22 22 23 24 26
25428 11 17 20 23 24 25 26 30
25503  8 14 18 21 23 24 26 30
25538 10 17 22 25 27 29 31 35
25551 14 19 21 23 23 24 25 27
25563 30 39 44 47 49 51 52 56
25594 23 31 35 38 40 42 43 47
25677 29 37 41 44 45 47 48 51
25705  8 15 19 23 25 27 28 33
25745 18 27 32 36 38 40 41 46
25927 21 31 37 42 44 47 49 54
25932 25 33 37 41 42 44 45 49
25954 19 24 26 28 29 30 31 33
25956 20 28 32 35 37 38 39 43
26063 14 18 21 22 23 24 24 26
26157 16 21 23 25 26 27 28 30
26275 15 19 21 23 24 24 25 27
26359  8 17 23 29 32 35 37 45
26781 16 19 21 23 24 24 25 26
26997 15 19 21 23 24 24 25 26
27037 14 20 23 26 27 28 29 32
27051 14 19 22 24 25 26 27 29
27333 16 20 23 24 25 26 27 29
