20674   .     .     .     .     .     .     .    0.02   .    0.02   .     .    0.04
20891   .     .     .     .     .    0.03  0.03  0.06   .     .     .     .    0.11
21921   .     .     .     .     .    0.03   .     .    0.03   .     .     .    0.06
22113   .     .     .     .     .    0.02   .    0.02   .     .     .     .    0.04
22217  0.02   .     .     .    0.02  0.02   .     .     .     .     .     .    0.06
22235   .     .     .     .    0.02  0.05   .    0.03   .     .    0.03   .    0.12
22520   .     .     .     .    0.04  0.04  0.02   .    0.04   .     .     .    0.15
22550   .     .     .     .    0.02  0.06  0.04  0.04   .     .     .     .    0.17
22619   .     .     .     .    0.09   .     .     .    0.05   .     .     .    0.14
22641   .     .     .     .     .     .     .     .    0.02  0.04   .     .    0.06
22768   .     .     .     .     .     .     .    0.02  0.04   .     .     .    0.06
22802   .     .     .     .    0.04  0.02  0.02  0.02  0.07   .     .     .    0.17
22820   .     .    0.02   .     .    0.02   .    0.04   .     .     .     .    0.09
22837   .     .     .     .    0.04  0.07   .    0.06  0.06   .     .     .    0.23
23074   .     .     .     .     .    0.03   .    0.03   .     .     .     .    0.05
23242   .     .     .     .     .     .    0.02  0.04  0.02   .     .     .    0.09
23383   .     .     .     .     .     .     .    0.02  0.07  0.02   .     .    0.11
23405   .     .     .     .    0.02  0.06  0.04   .    0.02   .     .     .    0.15
23445   .     .     .     .     .    0.02   .     .    0.02   .     .     .    0.04
23463   .     .     .    0.02  0.02   .     .     .     .     .     .     .    0.05
23472   .     .     .    0.04  0.02  0.09  0.04  0.04   .    0.02   .     .    0.26
23552   .     .     .     .    0.04  0.07   .     .    0.02   .     .     .    0.13
23662   .     .     .     .    0.02  0.05   .     .    0.02   .     .     .    0.09
23711   .     .     .     .    0.09  0.06   .    0.02   .     .     .     .    0.17
23724   .     .     .    0.02  0.02  0.05   .     .    0.02   .     .     .    0.11
23734   .     .    0.02   .    0.11  0.11  0.07  0.04   .     .     .     .    0.35
23867   .     .     .     .    0.07  0.04   .     .    0.02   .     .     .    0.13
23884   .     .     .     .     .    0.11   .    0.06  0.02  0.02   .     .    0.21
23891   .     .     .     .    0.04  0.04  0.02  0.02  0.02   .     .     .    0.15
23914   .     .     .    0.02  0.12  0.05  0.05  0.02   .     .     .     .    0.27
23921   .     .     .    0.02  0.04  0.06  0.04  0.02   .     .    0.02   .    0.21
23933   .     .     .     .    0.02  0.13  0.07  0.02  0.02   .     .     .    0.26
23955   .     .     .     .    0.04  0.04  0.06  0.06  0.02   .     .     .    0.23
23966   .     .     .     .    0.02   .     .     .    0.02   .     .     .    0.04
23986   .     .     .     .    0.09  0.11  0.04  0.04  0.04   .     .     .    0.32
24125   .     .     .    0.03   .    0.06   .    0.03  0.03   .     .     .    0.14
24143   .     .     .     .     .    0.03   .     .     .     .     .    0.03  0.05
24266   .     .     .     .    0.11   .     .     .    0.03   .     .     .    0.14
24329   .     .     .     .     .    0.03   .    0.03   .     .     .     .    0.05
24343   .     .     .     .     .    0.06   .     .    0.06   .     .     .    0.11
24507   .     .     .     .     .    0.06   .     .    0.04   .     .     .    0.11
24606   .     .     .     .    0.09  0.04   .    0.02   .     .     .     .    0.15
24641   .     .     .     .     .    0.02   .    0.02  0.04   .     .     .    0.09
24671   .     .     .     .    0.02  0.09   .    0.02   .     .     .     .    0.13
24688   .     .     .     .     .    0.21  0.02   .     .     .     .     .    0.23
24713   .     .     .     .    0.02  0.09  0.02  0.11  0.04   .     .     .    0.28
24738   .     .     .     .     .     .     .     .    0.02  0.02   .     .    0.04
24790   .     .     .     .    0.02  0.06  0.02   .    0.02   .     .     .    0.13
24817   .     .    0.02  0.02  0.30  0.06  0.02  0.02  0.04  0.02   .     .    0.51
24908   .     .     .    0.02  0.06  0.04   .    0.02  0.02   .     .     .    0.17
24959   .     .     .     .    0.04  0.09   .     .    0.04   .     .     .    0.17
24966   .     .    0.02   .     .    0.04  0.02   .     .     .     .     .    0.09
24967   .     .     .     .    0.04  0.02   .     .     .     .     .     .    0.07
25138   .     .     .     .     .    0.03   .    0.03   .     .     .     .    0.05
25248   .     .     .     .     .     .    0.03  0.03  0.09   .     .     .    0.14
25399   .     .     .     .     .     .     .    0.03  0.03   .     .     .    0.06
25503   .     .     .     .    0.02   .    0.02   .     .     .     .     .    0.04
25538   .     .     .    0.03   .    0.02  0.02   .     .     .     .     .    0.07
25563   .     .     .     .     .    0.04   .     .    0.02   .     .     .    0.06
25594   .     .    0.02   .     .     .     .     .     .    0.02   .     .    0.04
25677   .     .    0.03   .    0.03   .     .     .     .     .     .     .    0.06
25705   .     .     .     .     .    0.09   .    0.02  0.04   .     .     .    0.15
26063   .     .     .     .    0.09   .    0.02   .     .     .     .     .    0.11
26157   .     .     .    0.04  0.02  0.04  0.02  0.02  0.02  0.02   .     .    0.19
26275   .     .     .     .    0.09  0.02   .    0.05  0.02   .     .     .    0.18
26359   .     .    0.06   .    0.04   .    0.02   .     .     .     .     .    0.13
26781   .     .     .    0.04  0.09  0.09  0.09  0.02  0.02   .     .     .    0.34
26997   .     .     .    0.02  0.02  0.02  0.02  0.02  0.02   .     .     .    0.13
27037   .     .     .    0.04  0.17  0.15  0.04  0.04   .     .     .     .    0.45
27051   .     .     .     .    0.07  0.07  0.07  0.02   .     .     .     .    0.22
27333   .     .     .    0.02  0.09  0.04   .    0.07  0.02  0.04   .     .    0.28
27459   .     .     .     .    0.07  0.04  0.02  0.02  0.04   .     .     .    0.20
27595   .     .     .    0.04  0.07  0.07  0.02  0.02  0.02   .     .     .    0.23
27612   .     .     .    0.02  0.04  0.04  0.09  0.02  0.02  0.02   .     .    0.26
27648   .     .     .     .    0.02  0.15  0.02  0.02  0.07   .     .     .    0.28
27675   .     .     .    0.07  0.09  0.16  0.02  0.02  0.02   .     .     .    0.38
27707   .     .     .    0.02  0.05  0.07   .     .    0.02  0.02   .     .    0.18
27823   .     .     .     .    0.02  0.02   .    0.02   .     .     .     .    0.07
27857   .     .     .     .    0.02  0.04  0.04  0.02  0.02  0.02   .     .    0.17
27995   .     .     .    0.02  0.02   .     .    0.02   .    0.04  0.02   .    0.13
28009   .     .     .     .    0.09  0.18  0.07  0.02  0.02   .     .     .    0.38
28064   .     .     .     .    0.02  0.06   .     .    0.04   .     .     .    0.13
28138   .     .     .     .    0.04  0.09  0.02  0.02   .     .     .    0.02  0.19
28224   .     .     .    0.02  0.11  0.13  0.02  0.04  0.02   .     .     .    0.34
28255  0.02   .    0.02   .    0.04  0.04  0.07  0.02   .     .     .     .    0.22
28275   .     .     .     .    0.04  0.11  0.07  0.06  0.02   .     .     .    0.30
28418   .     .     .    0.02  0.09  0.09  0.04  0.02  0.02   .     .     .    0.29
28434   .     .     .     .     .    0.06   .     .    0.02   .     .     .    0.09
28493   .     .     .     .    0.09  0.13  0.11  0.02   .    0.02   .     .    0.36
28552   .     .     .     .     .    0.04   .    0.02   .     .     .     .    0.07
28573   .     .     .     .    0.09  0.11  0.02  0.04  0.07   .     .     .    0.33
28666   .     .     .     .    0.07  0.04  0.02  0.02  0.02  0.02   .     .    0.20
28698   .     .     .     .    0.11  0.02   .    0.02  0.07   .     .     .    0.21
28722   .    0.06   .    0.04  0.09  0.09  0.04  0.04  0.02   .     .     .    0.38
28748   .     .     .     .    0.07  0.09  0.04  0.02  0.13   .     .     .    0.35
29111   .     .     .     .     .    0.11  0.04  0.09  0.02   .     .     .    0.26
29231   .     .     .     .     .    0.02  0.09  0.04  0.06   .     .     .    0.21
29263   .     .     .     .    0.15  0.09  0.04  0.02  0.02  0.02   .     .    0.34
29282   .     .     .     .    0.06  0.02  0.02   .    0.11   .     .     .    0.21
29313   .     .     .     .    0.05  0.11  0.05   .    0.02  0.02  0.02   .    0.27
29328   .    0.02   .     .    0.02  0.04  0.06  0.09  0.04   .     .     .    0.28
