20069 -40.8 -31.3 -13.9 365
20087 -41.4 -32.6 -14.8 365
20292 -41.2 -32.9 -14.9 365
20476 -43.1 -33.7 -14.0 365
20667 -39.9 -29.7 -10.5 365
20674 -41.3 -30.7 -11.6 365
20744 -30.3 -19.2  -4.9 365
20891 -50.1 -37.7 -17.9 306
20982 -49.8 -36.9 -16.9 301
21432 -40.4 -33.5 -14.8 365
21802 -53.2 -39.9 -18.9 310
21908 -56.7 -43.2 -19.9 296
21921 -53.3 -41.8 -19.4 298
21931 -47.9 -38.8 -18.6 304
21946 -46.6 -38.0 -17.7 316
21982 -36.4 -27.8 -11.0 365
22113 -28.5 -13.8  -3.5 275
22165 -23.3 -12.4  -2.4 316
22217 -29.3 -15.7  -4.5 265
22235 -33.9 -17.6  -5.4 279
22471 -35.7 -18.6  -5.3 269
22520 -27.6 -13.7  -3.5 258
22550 -33.1 -16.8  -4.7 252
22619 -30.3 -14.7  -3.7 247
22641 -31.7 -15.3  -4.1 247
22676 -39.0 -19.5  -5.8 252
22768 -35.1 -16.9  -4.9 238
22802 -29.5 -12.7  -2.6 235
22820 -29.6 -13.7  -3.2 238
22837 -31.8 -14.5  -3.7 232
23022 -35.6 -24.0  -6.7 365
23032 -39.9 -27.5  -8.7 353
23058 -45.0 -32.8 -14.1 307
23074 -46.7 -33.1 -15.0 298
23205 -38.4 -23.1  -7.6 288
23242 -42.3 -29.9 -12.2 307
23256 -45.4 -31.7 -13.9 295
23274 -48.5 -33.0 -14.5 284
23324 -43.2 -24.9  -8.9 286
23330 -43.1 -28.4 -11.5 285
23383 -52.4 -39.4 -16.7 293
23405 -40.0 -21.7  -6.9 271
23445 -45.1 -28.6 -11.6 280
23463 -51.0 -33.3 -14.0 281
23472 -48.1 -30.8 -13.1 276
23552 -46.2 -30.1 -12.6 277
23631 -42.8 -26.3 -10.0 267
23662 -47.4 -30.2 -12.4 272
23678 -47.3 -28.9 -11.7 266
23711 -41.3 -21.6  -7.0 259
23724 -42.6 -24.4  -8.6 255
23734 -40.8 -24.7  -9.2 260
23867 -44.2 -26.3 -10.3 256
23884 -46.2 -28.9 -11.3 259
23891 -50.5 -35.3 -14.3 267
23914 -36.6 -19.5  -6.6 244
23921 -35.3 -22.6  -7.7 247
23933 -40.6 -23.8  -8.9 248
23955 -42.8 -25.4  -9.7 253
23966 -45.5 -27.2 -10.3 259
23986 -40.8 -25.7 -10.4 270
24125 -56.0 -43.0 -19.5 289
24136 -57.1 -46.0 -21.4 285
24143 -52.8 -42.1 -19.8 283
24266 -56.4 -50.0 -25.1 274
24329 -56.5 -45.3 -20.8 284
24343 -52.2 -42.6 -20.0 277
24382 -56.5 -47.6 -24.2 270
24507 -53.8 -40.6 -17.4 271
24606 -54.6 -41.5 -17.7 273
24641 -52.2 -41.0 -19.0 261
24661 -53.6 -45.7 -22.0 261
24671 -53.8 -47.4 -23.2 272
24688 -58.6 -51.3 -25.4 279
24713 -54.2 -39.4 -16.8 267
24738 -51.5 -37.9 -17.0 259
24790 -54.8 -43.2 -20.8 278
24817 -51.9 -35.9 -15.2 264
24908 -50.4 -34.2 -14.0 262
24959 -54.7 -44.0 -21.2 254
24966 -53.3 -44.5 -20.8 254
24967 -53.0 -42.9 -20.2 259
25062 -42.9 -31.6 -12.5 365
25138 -50.9 -39.9 -18.8 281
25173 -38.8 -30.4 -11.6 365
25206 -50.5 -40.3 -19.8 279
25248 -55.5 -40.2 -19.0 296
25282 -39.9 -29.8 -10.3 365
25325 -51.5 -40.9 -19.4 280
25356 -47.6 -32.6 -15.2 287
25378 -33.6 -23.5  -8.8 308
25399 -36.4 -26.1  -7.5 365
25400 -50.4 -40.6 -20.3 268
25428 -54.0 -42.7 -20.3 277
25503 -52.0 -42.4 -20.7 269
25538 -51.6 -35.2 -16.6 282
25551 -48.4 -32.6 -15.2 276
25563 -39.8 -28.0 -11.2 301
25594 -31.4 -19.8  -5.9 322
25677 -32.6 -21.7  -7.7 311
25705 -50.4 -41.0 -20.2 267
25745 -44.5 -29.6 -13.0 274
25927 -35.9 -23.7  -9.3 281
25932 -26.6 -17.0  -5.4 294
25954 -30.1 -18.3  -7.0 274
25956 -29.1 -16.9  -5.8 289
26063 -25.1 -10.0  -1.7 215
26157 -25.2  -9.7  -1.4 212
26275 -28.7 -10.9  -2.2 211
26359 -25.0  -9.7  -1.5 208
26781 -24.7 -10.8  -2.5 211
26997 -24.0 -10.4  -2.2 199
27037 -33.2 -15.2  -4.3 229
27051 -32.6 -16.1  -4.7 235
27333 -30.9 -14.1  -4.1 219
27459 -29.5 -13.7  -4.2 211
27595 -31.8 -15.2  -5.3 211
27612 -25.8 -11.2  -2.6 205
27648 -29.6 -13.5  -4.1 208
27675 -30.9 -14.6  -4.9 209
27707 -25.4 -11.6  -2.8 208
27823 -27.1 -13.0  -3.9 208
27857 -29.5 -13.5  -4.2 204
27995 -31.2 -15.4  -5.6 199
28009 -35.0 -18.2  -5.9 236
28064 -39.1 -21.5  -7.8 237
28138 -35.2 -20.0  -7.0 251
28224 -34.8 -17.5  -5.9 227
28255 -37.3 -19.8  -7.2 227
28275 -38.9 -21.8  -8.2 231
28418 -33.1 -16.5  -5.9 218
28434 -38.4 -19.2  -6.9 225
28493 -39.4 -22.4  -8.8 229
28552 -36.0 -18.9  -7.1 215
28573 -38.0 -21.5  -8.6 221
28666 -36.7 -20.0  -7.9 215
28698 -36.5 -21.2  -8.7 217
28704 -34.5 -16.6  -5.9 211
28722 -33.4 -17.0  -6.3 211
28748 -34.5 -18.9  -7.6 209
29111 -42.2 -24.2  -9.0 243
29231 -41.9 -23.9  -9.3 242
29263 -44.9 -25.9  -9.8 245
29282 -45.5 -28.6 -11.0 245
29313 -41.5 -23.3  -8.9 239
29328 -40.2 -22.7  -8.8 235
29570 -38.7 -20.0  -7.0 234
29594 -39.3 -22.5  -8.4 239
29612 -38.4 -22.2  -9.1 225
29645 -38.4 -21.7  -8.1 227
29752 -30.2 -18.4  -6.9 275
29789 -35.9 -22.1  -7.9 270
29866 -40.7 -22.8  -8.4 223
29939 -38.4 -20.5  -8.0 217
30054 -51.0 -34.1 -14.0 257
30089 -50.7 -38.2 -16.8 258
30230 -50.0 -31.6 -13.0 252
30252 -46.2 -33.7 -13.9 254
30309 -43.8 -24.3  -9.2 247
30372 -46.1 -36.1 -16.0 265
30385 -42.9 -34.3 -15.3 253
30393 -47.9 -36.1 -16.2 268
30433 -34.1 -24.2  -9.7 257
30521 -45.6 -30.9 -12.5 251
30554 -42.4 -31.5 -13.6 264
30612 -42.5 -26.5 -10.6 241
30636 -41.8 -30.1 -11.9 242
30650 -41.6 -29.8 -12.5 258
30673 -41.2 -31.5 -13.8 254
30710 -36.6 -21.4  -8.1 235
30758 -39.4 -28.0 -11.5 240
30777 -42.1 -31.3 -13.8 234
30844 -37.5 -27.3 -10.9 252
30879 -41.0 -29.4 -12.8 236
30925 -34.7 -22.8  -8.9 231
30935 -38.2 -28.0 -11.2 243
30949 -32.8 -23.5  -9.7 238
30965 -40.2 -28.9 -12.6 234
31004 -41.4 -30.6 -13.8 265
31088 -34.0 -24.2  -9.8 276
31137 -50.1 -41.9 -19.1 274
31168 -29.4 -20.8  -7.9 274
31174 -29.9 -22.8  -8.1 283
31253 -42.3 -34.1 -14.8 243
31329 -43.2 -34.8 -14.7 251
31369 -34.9 -25.3 -10.2 247
31416 -40.9 -30.6 -12.6 235
31439 -36.1 -26.9 -10.9 237
31478 -43.0 -34.9 -14.8 265
31707 -29.2 -21.9  -9.4 207
31770 -27.1 -18.4  -6.2 238
