20069 Ï  Í    3.0   2.6   2.7   2.6  10.6  15.0  14.6  15.0  15.3   7.4   4.0   3.8  96.6
20069 Ï  Î    9.3   8.5   9.5  10.1  22.7  24.2  21.8  22.8  24.5  21.0  11.1  10.1 195.4
20069 ß  Í   19.8  18.2  21.1  19.6   5.0   3.9   4.2   4.2   3.3   7.2  15.0  18.6 140.0
20069 ß  Î    7.1   6.5   5.8   5.6   1.8   1.6   1.9   1.7   1.8   2.4   5.1   7.2  48.3
20087 Ï  Í    2.6   2.1   2.6   2.4   8.8  12.9  12.1  12.8  13.5   7.5   3.8   3.2  84.3
20087 Ï  Î   10.2   9.1  10.2  11.4  18.8  22.7  21.5  22.4  23.1  18.6  11.0  11.7 190.8
20087 ß  Í   21.0  19.5  22.6  20.1   8.8   5.8   6.0   6.0   4.3  10.2  16.7  19.6 160.5
20087 ß  Î    6.2   5.0   4.9   4.7   2.1   1.7   1.9   1.7   1.3   2.7   5.2   5.4  42.7
20292 Ï  Í    2.1   1.9   1.9   3.3   9.9  12.0  11.6  14.5  16.2   9.0   3.6   2.5  88.5
20292 Ï  Î   13.6  12.5  12.5  13.1  21.0  22.2  19.7  22.6  23.6  21.3  15.8  13.6 211.5
20292 ß  Í   19.1  19.0  21.3  16.5   6.4   2.9   3.9   2.5   2.5   5.2  12.6  18.8 130.8
20292 ß  Î    5.5   4.4   5.3   3.2   2.1   1.8   1.9   1.9   1.6   1.7   3.2   5.5  38.0
20476 Ï  Í    2.1   1.4   2.2   2.3   8.5  13.3  10.6  11.6  13.7   7.9   4.4   3.2  81.2
20476 Ï  Î    7.2   6.6   6.9   7.8  18.0  21.5  18.3  20.2  22.6  16.9  10.4   8.8 165.3
20476 ß  Í   23.8  21.9  23.8  21.1   8.2   4.5   6.5   4.8   3.4   8.9  17.0  21.6 165.4
20476 ß  Î    9.3   8.1   8.7   6.5   2.7   2.3   2.9   2.2   1.1   2.6   7.1   8.2  61.8
20667 Ï  Í    3.8   2.5   2.4   3.3  11.2  10.5   7.3  11.2  13.3  10.3   6.0   4.1  85.9
20667 Ï  Î    9.0   7.9   8.1   8.7  17.7  16.6  13.8  18.8  20.9  18.3  12.2  11.7 163.6
20667 ß  Í   19.1  18.6  20.4  18.0   7.3   6.1   9.6   5.2   3.2   5.6  14.4  18.0 145.4
20667 ß  Î    7.8   7.1   7.2   6.2   2.7   2.3   3.2   2.1   1.1   2.1   5.0   6.5  53.4
20674 Ï  Í    3.1   2.5   2.9   4.6  13.3  15.5  11.0  13.0  16.1  12.3   6.2   4.5 104.8
20674 Ï  Î    8.9   8.6  10.1  11.5  21.5  21.8  17.4  21.0  23.6  20.3  13.2  11.3 189.2
20674 ß  Í   16.3  15.6  17.4  13.7   4.2   4.4   5.9   3.9   2.9   4.4  10.8  14.3 113.7
20674 ß  Î    6.0   5.6   5.5   4.0   1.6   2.1   2.3   1.8   1.4   2.2   4.1   5.3  41.8
20744 Ï  Í    5.5   5.1   5.4   4.7   9.2  10.7   9.7  10.1  10.5   7.9   8.0   6.5  93.2
20744 Ï  Î   12.1  11.5  13.9  11.3  17.8  18.6  16.9  19.2  19.8  16.5  14.1  13.6 185.2
20744 ß  Í   13.2  12.5  13.6  12.5   6.8   6.7   8.2   5.9   4.2   6.8  10.1  12.4 112.9
20744 ß  Î    4.9   4.2   4.8   4.7   2.6   3.0   3.3   2.7   1.6   2.7   3.3   3.9  41.6
20891 Ï  Í    1.5   1.4   1.3   1.4   3.6   6.4   3.8   5.9   7.3   4.9   1.9   1.9  41.4
20891 Ï  Î    8.5   7.8   8.4   8.8  14.6  16.9  15.2  17.8  19.7  16.5  11.4  10.2 155.8
20891 ß  Í   23.9  22.5  25.0  21.9  12.8   9.7  12.9  10.0   7.3  12.2  19.4  24.1 201.6
20891 ß  Î    7.9   6.2   7.3   5.0   3.2   2.2   2.7   2.4   2.4   2.3   5.3   6.9  53.8
20982 Ï  Í    1.8   1.6   2.3   2.5   5.6   9.4   8.8  11.1  11.7   6.7   3.5   2.6  67.5
20982 Ï  Î   11.5  10.2  11.4  12.1  16.6  18.3  17.3  19.9  21.3  18.5  13.7  13.3 184.0
20982 ß  Í   26.2  24.4  25.4  20.8  11.9   6.7   7.6   5.4   4.0  11.6  20.4  24.1 188.4
20982 ß  Î    6.3   6.5   6.4   5.0   3.7   2.4   3.4   2.2   1.5   2.9   4.3   6.2  50.7
21432 Ï  Í    1.3   3.0   1.4   3.1   9.4  13.3  12.7  15.5  16.0   8.7   4.1   2.1  90.6
21432 Ï  Î    8.5   8.1   8.4  11.1  21.6  23.3  21.9  24.1  26.4  22.1  11.0   8.0 194.6
21432 ß  Í   26.8  25.7  27.6  21.7   6.8   3.6   4.3   3.9   2.1   8.5  21.4  27.1 179.6
21432 ß  Î    6.5   5.4   4.8   3.8   1.9   1.7   1.5   2.0   1.3   1.3   4.2   6.3  40.7
21802 Ï  Í    0.0   0.0   1.0   1.5   6.5   7.7   6.5  10.2  12.2   5.2   2.8   1.5  55.2
21802 Ï  Î   10.0   8.8   9.4   9.8  17.4  16.1  15.5  19.0  20.7  18.6  11.1  10.1 166.6
21802 ß  Í   29.7  27.8  30.4  24.9  12.0   7.3   8.7   6.9   5.2  12.0  24.2  29.9 219.1
21802 ß  Î    8.8   6.3   7.3   5.8   2.6   2.0   2.6   2.0   1.5   2.9   5.4   8.2  55.4
21908 Ï  Í    2.3   1.0   0.0   2.8   4.3   7.7   8.1  10.1  10.5   4.3   1.9   3.0  55.9
21908 Ï  Î    5.7   5.9   6.2   8.6  15.5  16.3  15.6  17.9  19.6  16.7   8.5   6.1 142.7
21908 ß  Í   27.8  26.0  28.6  21.7  10.8   4.8   5.8   5.0   3.3  10.3  22.6  27.3 194.1
21908 ß  Î    9.8   8.2   8.5   5.8   3.1   2.0   2.7   2.5   2.1   2.5   6.3   9.6  62.9
21921 Ï  Í    1.0   0.0   1.7   1.1   2.5   4.2   4.7   5.5   5.9   5.6   2.0   1.0  35.2
21921 Ï  Î   12.5  11.0  10.4   8.3  13.9  15.0  14.9  16.6  18.2  19.9  13.8  13.8 168.3
21921 ß  Í   29.8  27.8  29.8  26.6  18.7  11.6  12.5  11.1   7.4  15.0  28.5  30.2 249.0
21921 ß  Î    6.5   5.7   8.0   8.0   4.7   3.1   3.1   4.1   2.6   3.1   4.7   6.0  59.6
21931 Ï  Í    1.3   1.0   0.0   1.2   5.2   7.5   7.3   9.0   8.1   3.2   1.5   1.0  46.4
21931 Ï  Î    8.5   7.9   6.9   7.7  14.7  15.7  16.8  18.4  18.6  15.4   9.9   9.5 150.0
21931 ß  Í   29.0  27.4  30.4  27.3  14.1  10.7  10.5   9.0   9.1  18.9  27.0  29.5 242.9
21931 ß  Î    8.6   7.2   8.6   8.3   3.8   3.3   3.1   2.9   2.2   2.9   6.8   7.7  65.4
