22550 б  09 26  07 49  06 11  04 28  02 45  01 28  01 55  03 41  05 25  07 04  08 47  10 03
22550 г  14 34  16 11  17 49  19 32  21 15  22 32  22 05  20 19  18 35  16 56  15 13  13 57
23330 б  09 49  08 02  06 13  04 19  02 19    од   01 10  03 26  05 22  07 10  09 08  10 57
23330 г  14 11  15 58  17 47  19 41  21 41    од   22 50  20 34  18 38  16 50  14 52  13 03
23472 б  09 43  07 52  06 13  04 23  02 31    од   01 32  03 32  05 23  07 07  08 59  10 27
23472 г  14 17  16 08  17 47  19 37  21 29    од   22 28  20 28  18 37  16 53  15 01  13 33
23552 б  09 32  07 52  06 13  04 26  02 41    од   01 47  03 38  05 25  07 05  08 52  10 11
23552 г  14 28  16 08  17 47  19 34  21 19    од   22 13  20 22  18 35  16 55  15 08  13 49
23734 б  09 01  07 39  06 10  04 36  03 08  02 03  02 16  03 55  05 27  06 58  08 29  09 30
23734 г  14 59  16 21  17 50  19 24  20 52  21 57  21 44  20 05  18 33  17 02  15 31  14 30
23921 б  08 46  07 29  06 10  04 42  03 23  02 27  02 49  04 04  05 30  06 53  08 17  09 10
23921 г  15 14  16 31  17 50  19 18  20 37  21 33  21 11  19 56  18 30  17 07  15 43  14 50
23955 б  08 44  07 30  06 10  04 43  03 25  02 31  02 52  04 05  05 31  06 53  08 15  09 06
23955 г  15 16  16 30  17 50  19 17  20 35  21 29  21 08  19 55  18 29  17 07  15 45  14 54
24125 б  10 37  08 10  06 15  04 08  01 37    од     од   03 06  05 18  07 20  09 26    ом 
24125 г  13 23  15 50  17 45  19 52  22 23    од     од   20 54  18 42  16 40  14 25    ом 
24266 б  10 18  08 03  06 14  04 13  02 02    од     од   03 17  05 20  07 14  09 20    ом 
24266 г  13 42  15 57  17 46  19 47  21 58    од     од   20 43  18 40  16 46  14 40    ом 
24382 б  09 56  07 56  06 13  04 19  02 20    од     од   03 26  05 22  07 10  09 07  10 41
24382 г  14 04  16 04  17 47  19 41  21 40    од     од   20 34  18 38  16 50  14 53  13 19
24507 б  09 22  07 45  06 11  04 29  02 49  01 30  02 04  03 43  05 26  07 03  08 44  09 57
24507 г  14 38  16 15  17 49  19 31  21 11  22 30  21 56  20 17  18 34  16 57  15 16  14 03
24688 б  09 10  07 40  06 11  04 34  03 00  01 47  02 17  03 49  05 27  07 01  08 36  09 41
24688 г  14 50  16 20  17 49  19 26  21 00  22 13  21 43  20 11  18 33  16 59  15 24  14 19
24817 б  08 51  07 33  06 09  04 40  03 18  02 20  02 44  04 02  05 31  06 56  08 22  09 16
24817 г  15 09  16 27  17 51  19 20  20 42  21 40  21 16  19 58  18 29  17 04  15 40  14 44
24908 б  08 43  07 24  06 10  04 44  03 26  02 32  02 53  04 05  05 31  06 53  08 15  09 05
24908 г  15 17  16 36  17 50  16 16  20 34  21 28  21 07  19 55  19 29  17 07  15 05  14 55
24959 б  08 57  07 34  06 10  04 38  03 12  02 10  02 35  03 57  05 29  06 57  08 25  09 23
24959 г  15 03  16 26  17 50  19 22  20 48  21 50  21 25  20 03  18 31  17 03  15 35  14 37
25138 б  10 28  08 07  06 14  04 10  01 51    од     од   03 11  05 19  07 16  09 28    ом 
25138 г  13 32  15 53  17 46  19 50  22 09    од     од   20 49  18 41  16 44  14 32    ом 
25206 б  10 16  08 03  06 13  04 14  02 03    од     од   03 17  05 20  07 14  09 19    ом 
25206 г  13 44  15 57  17 47  19 46  21 57    од     од   20 43  18 40  16 47  14 41    ом 
25428 б  09 36  07 49  06 12  04 25  02 38  00 55  01 42  03 36  05 25  07 06  08 54  10 16
25428 г  14 24  16 11  17 48  19 35  21 22  23 05  22 18  20 24  18 35  16 54  15 06  13 44
25551 б  09 27  07 46  06 12  04 28  02 45  01 15  01 53  03 40  05 25  07 04  08 48  10 05
25551 г  14 33  16 14  17 48  19 32  21 15  22 45  22 07  20 20  18 35  16 56  15 12  13 55
25705 б  09 02  07 36  06 10  04 36  03 08  02 01  02 28  03 54  05 28  06 58  08 29  09 30
25705 г  14 58  16 24  17 50  19 24  20 52  21 59  21 32  20 06  18 32  17 02  15 31  14 30
25954 б  08 43  07 27  06 09  04 43  03 24  02 31  02 53  04 06  05 31  06 53  08 15  09 06
25954 г  15 17  16 33  17 51  19 17  20 36  21 29  21 07  19 54  18 29  17 07  15 45  14 54
26063 б  08 40  07 29  06 10  04 45  03 28  02 36  02 56  04 07  05 31  06 52  08 13  09 02
26063 г  15 20  16 31  17 50  19 15  20 32  21 24  21 04  19 53  18 29  17 08  15 47  14 58
28275 б  08 27  07 21  06 09  04 49  03 38  02 54  03 11  04 15  05 34  06 47  08 02  08 44
28275 г  15 33  16 39  17 51  19 11  20 22  21 06  20 49  19 45  18 16  17 13  15 58  15 16
28698 б  08 08  07 12  06 08  04 58  03 58  03 20  03 34  04 27  05 35  06 42  07 48  08 23
28698 г  15 52  16 48  17 52  19 02  20 02  20 40  20 26  19 33  18 25  17 18  16 12  15 37
29263 б  08 29  07 20  06 09  04 50  03 38  05 52  03 09  04 14  05 33  06 48  08 03  08 48
29263 г  15 31  16 40  17 51  19 10  20 22  21 08  20 51  19 46  18 27  17 12  15 57  15 12
30252 б  08 24  07 20  06 08  04 51  03 42  02 58  03 16  04 19  05 34  06 48  08 01  08 44
30252 г  15 36  16 40  17 52  19 09  20 18  21 02  20 44  19 41  18 26  17 12  16 01  15 16
30554 б  08 05  07 09  06 07  04 59  04 00  03 24  03 38  04 29  05 37  06 42  07 44  08 20
30554 г  15 55  16 51  17 53  19 01  20 00  20 36  20 22  19 31  18 23  17 18  16 16  15 40
30710 б  07 54  07 05  06 06  05 04  04 09  03 38  03 50  04 38  05 39  06 38  07 37  08 09
30710 г  16 06  16 55  17 54  18 56  19 51  20 22  20 10  19 22  18 21  17 22  16 25  15 51
30758 б  07 53  07 03  06 07  05 05  04 11  03 39  03 51  04 38  05 38  06 37  07 35  08 06
30758 г  16 07  16 57  17 53  18 55  19 49  20 21  20 09  19 22  18 22  17 23  16 25  15 54
30965 б  07 45  06 58  06 06  05 08  04 17  03 48  04 00  04 43  05 39  06 34  07 30  07 58
30965 г  16 15  17 02  17 54  18 52  19 43  20 12  20 00  19 17  18 21  17 26  16 30  16 02
31004 б  08 30  07 21  06 09  04 49  03 37  02 50  03 08  04 13  05 32  06 49  08 05  08 50
31004 г  15 30  16 39  17 51  19 11  20 23  21 10  20 52  19 47  18 28  17 11  15 55  15 10
31088 б  08 35  07 23  06 09  04 47  03 32  02 43  03 01  04 10  05 32  06 50  08 09  08 56
31088 г  15 25  16 37  17 51  19 13  20 28  21 17  20 59  19 50  18 28  17 10  15 51  15 04
31174 б  08 07  07 10  06 08  04 58  03 59  03 21  03 35  04 27  05 36  04 42  07 47  08 22
31174 г  15 53  16 50  17 52  19 02  20 01  20 39  20 25  19 33  18 24  17 18  16 13  15 38
31253 б  08 07  07 09  06 08  04 59  03 59  03 22  03 36  04 28  05 36  06 42  07 46  08 21
31253 г  15 53  16 51  17 52  19 01  20 01  20 38  20 24  19 32  18 24  17 18  16 14  15 39
31416 б  07 55  07 04  06 07  05 04  04 09  03 37  03 49  04 37  05 38  06 38  07 37  08 08
31416 г  16 05  16 56  17 53  18 56  19 51  20 23  20 11  19 23  18 22  17 22  16 23  15 52
31707 б  07 36  06 53  06 06  05 13  04 26  04 01  04 11  04 49  05 41  06 32  07 20  07 47
31707 г  16 24  17 07  17 54  18 47  19 34  19 59  19 49  19 11  18 19  17 28  16 40  16 13
31770 б  07 40  06 56  06 06  05 10  04 22  03 55  04 06  04 46  05 40  06 33  07 25  07 52
31770 г  16 20  17 04  17 54  18 50  19 38  20 05  19 54  19 14  18 20  17 27  16 35  16 08
31961 б  07 22  06 46  06 04  05 17  04 30  04 16  04 25  04 59  05 42  06 28  07 11  07 32
31961 г  16 38  17 14  17 56  18 43  19 30  19 44  19 35  19 01  18 18  17 32  16 49  16 28
32150 б  07 33  06 51  06 06  05 13  04 28  04 04  04 14  04 52  05 41  06 31  07 19  07 43
32150 г  16 27  17 09  17 54  18 47  19 32  19 56  19 46  19 08  18 19  17 29  16 41  16 17
32165 б  07 22  06 46  06 04  05 17  04 38  04 16  04 25  04 59  05 42  06 28  07 11  07 32
32165 г  16 38  17 14  17 56  18 43  19 22  19 44  19 35  19 01  18 18  17 32  16 49  16 28
32389 б  08 15  07 14  06 08  04 55  03 50  03 10  03 25  04 24  05 35  06 45  07 54  08 32
32389 г  15 45  16 46  17 52  19 05  20 10  20 50  20 35  19 36  18 25  17 15  16 06  15 28
34186 б  07 50  07 02  06 06  05 05  04 13  03 42  03 54  04 40  05 39  06 37  07 34  08 04
34186 г  16 10  16 58  17 54  18 55  19 47  20 18  20 06  19 20  18 21  17 23  16 26  15 56
34740 б  07 32  06 51  06 06  05 14  04 30  04 06  04 16  04 52  05 41  06 30  07 18  07 42
34740 г  16 28  17 09  17 54  18 46  19 30  19 54  19 44  19 08  18 19  17 30  16 42  16 18
34880 б  07 31  06 50  06 06  05 15  04 31  04 07  04 16  04 53  05 41  06 30  07 17  07 41
