20069  0.09  0.51  0.71  1.31  1.11  4.98 13.11 13.64  7.09  1.12  0.50  0.41  3.27  41.24  44.51
20087  0.02  0.14  0.02  0.18  0.43  1.82  4.70  4.25  2.16  0.14  0.02  0.05  0.39  13.55  13.93
20292  0.06  0.06  0.09  0.74  1.57  8.06 15.74 16.20  5.94  1.36  0.55  0.35  2.28  46.92  49.19
20476  0.05  0.12  0.16  0.41  1.16  5.19 11.16  9.49  3.88  0.84  0.16  0.20  1.47  29.93  31.40
20667  1.43  1.34  2.16  3.24  4.26 10.50 12.86 10.44  7.36  3.91  1.82  1.70 11.10  45.85  56.95
20674  0.38  0.36  0.50  1.20  2.17 10.26 14.94 11.30  6.17  2.89  1.07  0.57  5.60  45.79  51.38
20744  0.51  0.24  0.63  1.32  2.39  4.79  5.27  4.08  2.55  1.05  0.77  0.38  3.38  19.86  23.24
20891  5.97  7.03  2.29  0.37  0.86  1.40  0.42  1.61  2.69  0.71  1.21  3.77 20.14   7.11  27.24
20982  0.48  0.36  0.15  0.24  0.51  0.89  0.60  2.32  2.15  0.87  0.31  0.57  2.66   6.70   9.36
21432  0.14  0.17  0.22  0.66  1.56  4.14  9.49  7.83  2.51  1.06  0.26  0.03  1.78  24.92  26.70
21802  0.11  0.17   .    0.67  0.89  0.60  0.22  1.80  1.51  0.80  0.24  0.09  1.32   5.43   6.76
21908  0.16  0.25  0.03  0.03  0.08  0.08  0.44  2.43  1.49  0.40  0.03  0.14  0.97   4.32   5.30
21921  1.29  0.91  0.03  0.06  0.03   .     .    0.18  0.39  0.42  0.45  1.27  4.11   0.61   4.72
21931  0.09  0.27  0.16  0.76  3.13  2.15  2.31  4.18  2.94  1.44  0.30  0.09  2.17  14.43  16.60
21946  0.68  0.47  0.56  1.44  5.36  4.94  4.03  6.63  6.34  3.94  1.54  0.63  7.46  27.62  35.08
21982  0.89  0.67  0.86  1.06  5.74 10.23 14.37 15.97  7.14  1.43  0.57  0.86  5.08  51.59  56.68
22113  1.66  1.57  1.81  0.61  0.40  0.41  0.76  1.62  1.74  1.31  1.69  1.73  9.49   5.38  14.87
22165  1.13  1.24  1.84  3.95  6.77  8.73 10.13  8.62  5.92  1.76  1.44  1.11  8.18  42.72  50.90
22217  0.64  0.87  1.00  1.36  1.11  0.72  0.87  1.44  2.07  1.34  0.93  0.84  5.40   7.43  12.83
22235  2.14  1.63  1.33  1.66  1.23  0.29  1.18  3.15  3.44  3.68  3.76  2.70 14.21  10.40  24.60
22471  1.64  1.05  1.41  1.49  1.15  0.36  1.10  1.36  1.62  2.00  1.84  2.00  9.79   7.08  16.87
22520  0.55  0.72  1.32  1.00  1.36  0.98  1.66  1.13  1.13  0.59  0.71  0.57  4.40   7.19  11.60
22550  1.38  0.98  1.43  2.06  1.26  0.98  1.15  2.38  2.55  2.43  1.87  1.28  9.21  10.38  19.60
22619  0.32  0.20  0.41  0.91  1.11  0.55  0.25  0.51  0.77  0.44  0.35  0.23  1.93   4.07   6.00
22641  1.13  0.81  1.38  1.11  0.64  0.30  0.17  1.13  1.28  1.09  1.13  0.72  6.19   4.62  10.81
22676  1.47  0.62  0.68  0.98  0.81  0.70  1.68  3.04  2.85  1.15  0.72  0.87  5.45  10.06  15.51
22768  0.70  0.32  0.85  1.00  0.66  0.45  0.80  1.62  2.49  1.54  0.76  0.39  4.51   7.00  11.51
22802  1.81  2.23  2.94  2.51  1.62  1.43  1.81  3.33  4.00  2.48  1.46  1.22 12.02  14.53  26.55
22820  0.38  0.74  1.49  1.60  1.45  1.38  0.85  1.07  1.50  1.20  0.91  0.26  4.94   7.79  12.72
22837  0.62  0.83  0.81  1.04  0.74  0.91  1.17  1.70  1.70  0.50  0.52  0.48  3.72   7.26  10.98
23022  0.63  0.73  1.28  2.23  4.90 10.75 12.68 10.98  6.60  3.10  1.28  0.95  7.83  48.13  55.95
23032  0.43  0.57  1.00  1.88  3.71  8.79 12.19  9.38  5.46  2.73  1.24  0.51  6.26  40.33  46.58
