20069 1     3     2    15    18    18    21    17    16    15    17    10    10    97
20069 2  1996  1966  2002  2005  2011  2011  2006  1971  1974  2007  2002  2002  2008
20069 3     .  1972     .  2008     .     .     .     .     .     .  2003     .  2011
20087 1     .     1     5    22     9    15    15    13    16    17    10     4    78
20087 2     .  1987  2002  1987  1993  1988  2008  1988  1986  2007  2011  2001  1987
20087 3     .     .     .     .     .     .     .     .  2003     .     .     .     .
20292 1     2     4    12    20    23    21    24    24    18    19    18     8   151
20292 2  1966  1970  1973  1967  1967  1966  1981  1988  1982  1968  1966  1968  1967
20292 3     .     .     .     .     .     .  2008     .  1986  1987     .  1983     .
20476 1     1     3     8    18    20    24    24    21    20    20    15     6   127
20476 2  1971  1970  1992  1973  1967  1975  1981  2005  1987  1972  1966  1968  2008
20476 3     .     .     .     .     .     .     .     .  2011     .     .  1980     .
20667 1     .     .     4    13    16    20    21    16    14    16    13     5    96
20667 2     .     .  1973  1973  1988  1975  1981  1983  1974  1993  1985  1987  1975
20667 3     .     .     .     .     .     .     .     .  1984     .     .  2008     .
20674 1     1     .     4    13    19    24    24    21    20    19    15     5   115
20674 2  1966     .  2002  1970  1967  1975  1981  2005  2011  1972  1966  2008  2011
20674 3  1970     .     .  1975     .     .     .     .     .  2002     .     .     .
20744 1     .     .     1    13    19    23    23    20    21    14    12     3   116
20744 2     .     .  1967  1968  1982  1980  1978  1968  1972  1984  1979  1984  1968
20744 3     .     .  1970     .     .     .     .  1981     .     .     .     .     .
20891 1     .     2     3    11    16    13    11    10     9    11     8     2    64
20891 2     .  1981  1966  1968  1967  1975  1981  1967  1985  1967  1966  1986  1967
20891 3     .     .  1980  1980     .     .     .     .  1987     .  2002     .     .
20982 1     .     .     5    14    18    14    14    12    12    13    10     3    77
20982 2     .     .  1976  1973  1967  1981  1981  1996  1987  1972  1980  1968  1981
20982 3     .     .     .     .     .     .     .     .     .  1982     .  1974     .
21432 1     .     2     4    14    15    22    19    19    22    17    13     5   103
21432 2     .  1980  1979  1974  1966  1975  2010  1982  2003  1977  1980  1992  1981
21802 1     1     .     3    10    12    13    12    14    11    17     9     3    55
21802 2  1976     .  1969  1971  1966  1984  2011  1978  1987  1972  2002  1996  1966
21802 3     .     .     .     .     .     .     .     .  1990     .     .  2003     .
21908 1     .     .     3     3     4     3     2     3     4     4     1     .     9
21908 2     .     .  1969  1974  1971  1972  1969  1978  1975  1972  1967     .  1972
21908 3     .     .     .     .     .     .  1972     .     .     .  1968     .     .
21921 1     .     .     2    14     9     7     5    10    16    10     4     1    40
21921 2     .     .  1988  1980  1975  1981  1979  1985  1990  1991  1991  1974  1980
21921 3     .     .  1989     .     .  1991  1980     .     .     .     .     .     .
21931 1     .     .     1     7    16     8     7     6     7     7     3     2    33
