20069   6.0  10.3  34.3 124.2 113.8 127.9 103.4  85.9  91.3  77.3  51.6  24.4  795.3   11
20087    .   14.8  12.9  62.2  56.6  80.9  68.3  69.1  87.9  80.2  36.9  16.3  496.6   10
20292    .    6.1  32.4  96.5  90.5 133.9 149.4 142.3 129.5 125.2  71.2  25.2  964.0   11
20476    .     .   18.6  86.7 127.7 172.1 209.9 160.6 157.1 110.5  69.2  19.7 1059.0   13
20667    .     .   11.9  51.5 102.7 130.0  95.8  71.2 102.9  86.5  66.4  31.9  643.3   10
20674    .     .   20.7  66.1 130.0 189.1 201.2 167.0 140.5  99.6  67.6  14.9 1036.1   11
20744    .     .     .   12.4  31.6  88.5 111.8 109.2  90.6  70.6  25.8  11.4  511.2   10
20891    .     .    9.3  15.8  36.8  39.9  47.8  39.0  39.1  27.3  19.2  13.3  184.9    8
20982    .     .   19.7  19.4  42.4  47.5  53.2  47.3  50.9  45.1  26.6   2.2  280.1    9
21432    .     .   20.5  56.1  84.6 113.7 106.8 102.4 119.8  93.4  59.5  13.7  714.8   11
21802    .     .    5.9  18.1  39.3  42.2  42.3  39.4  34.0  39.3  32.5  16.7  232.8    8
21908    .     .     .     .     .    6.7    .     .    4.6   3.4    .     .     7.3    4
21921    .     .   20.9  36.3  21.6  21.9  22.9  23.0  32.6  25.7  10.5    .   117.3    8
21931    .     .    8.5  29.6  34.5  21.6  19.4  29.2  20.9  23.2  17.3    .    99.4    8
21946    .     .   17.6  23.7  46.3  73.2  46.1  50.8  35.5  35.1  45.5  11.4  283.5   10
21982    .   12.7  13.9  53.0 111.1 150.4 105.0 116.0  74.6  61.3  36.3   9.9  674.1   12
22113    .     .     .   30.9  14.7  10.5  14.1  10.9  13.2   7.4    .     .    48.7    4
22165    .     .     .   22.7  81.8 141.4 208.9 170.6 131.6  69.8  29.4   5.1  770.2   11
22217    .     .     .   13.9  13.4   6.7  14.5  12.1  11.9  11.4  12.4    .    37.0    5
22235    .     .     .   12.9   6.3   5.2   8.6   5.2   8.5   6.9   2.0    .    17.6    4
22471    .     .     .    4.1   8.7  11.4  19.8  14.0  13.4  12.2  14.1    .    64.1    5
22520    .     .     .   14.8  26.7  36.1  48.1  42.5  29.9  24.3  10.6    .   198.2    7
