20069 Í    2.1   2.1   2.0   2.2   6.1   7.4   7.7   8.0   8.0   5.3   3.1   2.7   4.7
20069 Î    5.5   5.6   6.1   6.1   8.7   9.3   9.4   9.6   9.7   8.4   6.4   5.9   7.6
20087 Í    1.9   1.8   1.6   2.0   5.1   6.5   6.7   6.9   7.1   4.6   2.8   2.3   4.1
20087 Î    6.1   6.3   6.4   6.6   8.1   8.9   9.0   9.2   9.3   8.1   6.5   6.5   7.6
20292 Í    2.2   2.2   2.0   2.7   5.9   7.2   7.3   8.0   7.9   6.1   3.5   2.5   4.7
20292 Î    7.0   7.2   7.0   7.3   8.5   9.1   9.0   9.3   9.2   8.8   7.7   7.2   7.9
20476 Í    1.8   1.5   1.6   1.9   5.2   6.9   6.4   6.8   7.2   5.1   2.9   2.3   4.1
20476 Î    5.2   5.1   5.1   5.6   7.6   8.7   8.3   8.7   9.0   7.7   5.9   5.6   6.9
20667 Í    2.5   2.2   2.2   2.7   5.9   6.6   5.5   6.9   7.4   6.4   3.8   3.0   4.5
20667 Î    5.6   5.4   5.6   5.9   7.9   8.4   7.8   8.6   9.0   8.3   6.5   6.4   7.1
20674 Í    3.3   2.9   2.8   3.4   6.9   7.8   6.8   7.4   8.0   6.7   4.3   3.9   5.4
20674 Î    6.3   6.1   6.3   6.7   8.6   9.2   8.6   9.0   9.3   8.4   6.9   6.6   7.7
20744 Í    4.0   3.8   3.8   4.0   5.8   6.2   5.8   6.3   6.5   5.6   4.9   4.5   5.1
20744 Î    6.6   6.7   6.8   6.6   8.0   8.4   8.0   8.3   8.6   7.8   7.2   7.0   7.5
20891 Í    1.2   1.2   1.1   1.5   3.6   4.5   3.7   4.5   5.2   3.7   2.0   1.3   2.7
20891 Î    5.3   5.5   5.4   5.9   7.1   7.7   7.3   7.9   8.3   7.5   6.3   5.6   6.6
20982 Í    0.9   0.9   1.0   1.7   4.0   5.6   5.3   6.1   6.5   4.2   2.0   1.4   3.3
20982 Î    6.1   5.9   6.0   6.4   7.3   7.9   7.5   8.1   8.5   7.7   6.7   6.3   7.0
21432 Í    0.5   0.5   0.6   1.6   5.4   7.0   6.8   7.4   7.6   5.2   1.8   0.7   3.7
21432 Î    5.3   5.7   5.9   6.4   8.5   8.9   8.8   9.0   9.4   8.6   6.3   5.5   7.2
21802 Í    0.1   0.1   0.1   0.9   4.1   5.2   4.8   5.7   6.2   3.9   1.1   0.2   2.6
