20069   .    .    .    .   0.0
20087   .   0.0  0.0   .    . 
20292   .    .   0.0  0.0  0.2
20476   .   0.1  0.4  0.1  0.1
20667  0.1  0.1  0.1   .   0.2
20674  0.0  0.2  0.1  0.1  0.2
20744  0.4  0.4  0.5  0.0  0.1
20891   .   0.1   .    .    . 
21432   .    .    .   0.0  0.0
21982   .   0.0   .   0.1  0.0
22113  0.1   .    .    .    . 
22165   .    .   0.0  0.0  0.0
22235  0.1   .   0.1   .    . 
22471  0.1   .    .    .    . 
22520  0.1  0.0   .    .    . 
22550  0.0  0.0  0.0   .    . 
22641  0.1   .   0.0   .   0.0
22768  0.1  0.0   .    .    . 
22802  0.4  0.2  0.0   .   0.0
22820  0.1  0.0  0.0   .   0.0
22837  0.2   .    .   0.1  0.0
23022  0.0  0.1  0.1  0.1   . 
23032   .    .    .    .   0.0
23058   .    .   0.2   .   0.1
23074  0.0  0.0   .   0.0   . 
23242   .   0.0  0.0  0.0  0.0
23256  0.0  0.0  0.3  0.2  0.1
23324  0.0   .    .    .    . 
23330   .    .    .   0.0   . 
23405  0.0   .    .    .    . 
23472   .   0.1   .    .    . 
23552  0.0   .    .   0.0   . 
23631   .   0.0   .    .    . 
23662  0.1   .    .    .    . 
23711   .   0.0   .    .   0.0
23724   .    .    .    .   0.0
23734  0.0   .    .    .    . 
23867  0.0   .    .    .    . 
23891  0.0   .    .    .    . 
23914  0.1   .   0.0   .   0.1
23921   .    .    .    .   0.0
23933   .    .    .    .   0.0
23955  0.0   .    .    .    . 
23986  0.0   .    .    .   0.0
24343   .    .    .   0.0   . 
25173  0.3  0.0  0.3  0.0  0.1
25248   .   0.1  0.0  0.1   . 
25356  0.1   .   0.1  0.2  0.0
25378  1.7  0.8  0.6  0.3  0.5
25399  0.4  0.2   .   0.1  0.1
25503   .   0.0   .    .   0.0
25538  0.2   .   0.1   .    . 
25551  0.2   .   0.0   .   0.0
25563  0.4  0.4  0.4  0.4  0.3
25594  2.3  0.9  0.8  0.8  0.4
25677  0.5  0.4  0.1  0.4   . 
25705  0.2   .    .    .    . 
25745  0.3  0.4  0.5  0.5  0.1
25927  0.8  0.7  0.6  0.7  0.5
25932  0.3  0.5   .   0.1   . 
25954  0.5  0.3  0.2  0.2  0.3
25956  0.6  0.7  0.5  0.3  0.3
26063  0.2  0.0  0.0  0.0  0.0
26157  0.4   .    .    .    . 
26275  0.3  0.0   .    .   0.1
26359  0.1   .   0.1   .   0.3
