20069  5 20.07 25.08  5.07 13.07
20069 10 26.07 30.08  3.07  3.07
20069 15 28.07  2.09 29.06 30.06
20069 20 29.07  2.09 28.06 28.06
20069 25 30.07  3.09 26.06 28.06
20069 30  2.08  9.09 25.06 26.06
20069 35  6.08 11.09 24.06 25.06
20069 40 12.08 14.09 24.06 24.06
20069 45 14.08 17.09 23.06 24.06
20069 50 17.08 19.09 22.06 23.06
20069 55 24.08 19.09 21.06 23.06
20069 60 25.08 20.09 18.06 22.06
20069 65 30.08 23.09 16.06 18.06
20069 70  1.09 24.09 16.06 17.06
20069 75  2.09 24.09 15.06 16.06
20069 80  5.09 30.09 15.06 15.06
20069 85  7.09 30.09 13.06 15.06
20069 90  9.09  3.10 12.06 12.06
20069 95 19.09  9.10  5.06  9.06
20087  5 26.07 21.08 10.07 12.07
20087 10  9.08 29.08  9.07 10.07
20087 15 12.08  1.09  7.07  9.07
20087 20 14.08  3.09  6.07  7.07
20087 25 20.08  5.09  3.07  6.07
20087 30 24.08  8.09  2.07  3.07
20087 35 25.08 11.09 30.06  2.07
20087 40 26.08 12.09 30.06 30.06
20087 45 30.08 14.09 28.06 30.06
20087 50 30.08 14.09 28.06 28.06
20087 55  1.09 18.09 27.06 27.06
20087 60  2.09 19.09 26.06 27.06
20087 65  5.09 19.09 25.06 25.06
20087 70  8.09 20.09 24.06 25.06
20087 75 13.09 22.09 23.06 23.06
20087 80 14.09 24.09 20.06 20.06
20087 85 19.09 25.09 19.06 19.06
20087 90 22.09 28.09 18.06 18.06
20087 95 29.09 30.09 12.06 12.06
20292  5  1.08  3.09 11.07 11.07
20292 10  2.08  4.09  9.07 11.07
20292 15 11.08  4.09  8.07  8.07
20292 20 14.08  5.09  6.07  8.07
20292 25 14.08  5.09  5.07  6.07
20292 30 19.08  7.09  4.07  4.07
20292 35 19.08  9.09  3.07  4.07
20292 40 21.08 11.09  1.07  3.07
20292 45 23.08 11.09 30.06  1.07
20292 50 25.08 12.09 28.06 28.06
