20069 1     1     8     6     6     5    18    24    24    18     9     5     7    18    75    88
20069 2  1969  1967  1972  1980  1988  1972  1994  1971  1997  1974  1974  1966  1974  1972  1972
20069 3  1972     .     .     .     .     .     .     .     .     .     .     .     .     .     .
20087 1     1     3     1     3     5    10    16    18    14     2     1     1     4    54    58
20087 2  1990  2005  1991  2007  2011  1985  2010  2007  2011  2009  2010  1985  2011  2011  2011
20087 3     .     .     .     .     .     .     .     .     .     .     .  2011     .     .     .
20292 1     1     1     1     7     5    17    24    24    14     4     3     6    13    74    78
20292 2  1968  1968  1967  1974  1983  1973  1977  1971  1967  1970  1969  1969  1969  1971  1971
20292 3  2011  1970  1969     .     .     .     .     .     .     .  1986     .     .     .     .
20476 1     2     2     2     3     6    14    26    19    11     7     1     6     9    62    70
20476 2  1969  1971  1970  1972  1971  1973  1971  1978  2001  1968  1969  1966  1969  1967  1971
20476 3     .     .  1973  2007  1974  2011     .     .  2011     .  1971     .     .  1971     .
20667 1     5     6     7    12    10    19    21    22    15    14     6     7    29    67    85
20667 2  2008  1984  2008  1982  1984  1985  1966  1978  2011  1980  2005  1999  1983  1966  1982
20667 3     .     .     .     .  1989     .     .     .     .     .  2011     .     .  1982     .
20674 1     3     5     4     5     6    22    27    25    13     9     8     8    20    75    88
20674 2  1966  1967  1966  1973  1986  1981  1970  1973  1969  1980  1969  1966  1966  1973  1973
20674 3  1972     .  1967  1977     .     .     .     .     .     .     .     .  1967     .     .
20744 1     5     4     5     7     9    16    12    11     9     4     3     4    11    39    44
20744 2  1972  1980  1983  1990  1977  1977  1985  1996  1979  1967  1970  1977  1996  1989  1977
20744 3     .     .     .     .     .     .  2003     .  1983  1987  1977  1998     .     .  1989
20891 1    20    14    11     4     3     5     4     5     7     3     8    14    51    22    64
20891 2  1978  1976  1976  1974  1974  1967  1973  1974  1974  1966  1974  1976  1976  1974  1974
20891 3     .  1977     .     .     .     .     .  2002  1983  1969     .     .     .     .     .
20982 1     3     4     1     2     3     3     4     7     7     4     3     4     8    16    22
20982 2  1978  1994  1967  1969  1968  1969  1995  1971  1983  1969  1989  1996  1994  1969  1969
20982 3     .     .  1968  1972  1986  1974     .     .     .     .     .     .     .     .     .
21432 1     2     4     3     4     6    11    16    19     9     8     1     1     9    52    53
21432 2  1977  2000  2000  1975  1977  1977  1981  1980  1975  1978  1975  1977  1978  1975  1975
21432 3     .     .     .  1976     .  2007     .     .     .     .  1976     .     .     .  1981
21802 1     2     3     .    14     3     3     2     5     7     4     2     1     7    19    24
21802 2  1970  1974     .  1972  1968  1979  1970  1967  1974  1972  1967  1976  1974  1972  1972
21802 3     .     .     .     .  1969  1982  1985  1978     .  1974     .  1999     .     .     .
21908 1     3     5     1     1     1     1     2    10     6     3     1     2     9    16    18
21908 2  2001  2009  1970  1975  1987  1981  1973  1971  1971  2009  1974  1966  2009  1971  1971
21908 3     .     .     .     .  1988  1992  1974     .     .     .     .  1971     .     .     .
21921 1    16    10     1     1     1     .     .     2     3     3     6    10    37     3    38
21921 2  1982  1976  1976  1982  1983     .     .  1989  1980  1982  1975  1974  1982  1980  1982
21921 3     .     .     .  1983     .     .     .     .     .     .     .  1982     .     .     .
21931 1     1     3     1     4     8     9     5    11     6     6     4     2     6    28    34
21931 2  1969  1973  1972  1973  2008  1969  1967  1969  1971  1978  1992  1988  1973  1973  1973
21931 3  1975     .  1973  2007     .     .  1972     .     .     .     .     .  1974     .     .
21946 1     6     5     5     5    13    11    10    13    12    12     6     5    25    43    49
21946 2  1977  1966  1981  1995  1998  1969  1968  1973  1969  1981  1981  1966  1981  1969  1973
21946 3     .     .     .  2000     .     .     .     .     .     .  2003  1973     .     .     .
21982 1     7     5     6     7    13    17    21    25    16     4     4     6    16    68    74
21982 2  1979  1986  2011  1978  1990  1980  1978  1976  1984  1967  1973  1983  1979  1976  1977
21982 3     .     .     .     .     .     .     .     .     .  1974     .     .     .     .     .
22113 1     8     9     6     3     4     2     5     6     6     4     8     9    21    10    30
22113 2  1983  2007  1982  1966  1981  1968  1977  2012  1973  1970  1972  1967  1973  1990  1973
22113 3     .     .     .     .     .  1969     .     .     .  1982     .     .     .     .     .
22165 1     6     5     6    11    13    19    21    18    15    12     6     7    21    76    87
22165 2  1996  1990  1974  2010  2010  1981  1997  1974  1981  2000  1982  1977  1996  1981  1979
22165 3     .     .  1983  2011  2011     .  2008     .     .     .     .     .     .     .     .
22217 1     4     7     4     7     4     4     3     6     9     6     4     3    11    18    23
22217 2  1970  1972  1985  1983  2004  1998  1984  1971  2001  1977  1967  1969  1968  2001  1995
