20069 0     0.0  29.6  28.3  10.9   8.8   4.4   1.9   2.9   5.1  12.3  16.2  53.5  25.5   3.4   4.6
20069 1-3 100.0  44.4  41.5  63.6  49.5  28.1  30.0  29.7  21.0  42.5  48.7  25.6  41.8  29.3  30.0
20069 4-6   0.0   3.7  20.8  21.8  34.1  47.4  43.8  44.0  37.6  27.4  18.9  18.6  19.7  42.3  41.2
20069 >6    0.0  14.8   1.9   0.9   4.4  18.8  22.8  21.6  34.3  17.8  13.5   2.3  10.0  23.2  22.5
20087 0     0.0  25.0   0.0  29.4  10.3   5.8   0.9   3.3   3.2  20.0  50.0   0.0  20.0   3.4   3.7
20087 1-3 100.0  50.0   0.0  52.9  64.1  42.4  31.4  38.6  23.1  10.0  50.0 100.0  40.0  34.9  35.0
20087 4-6   0.0  25.0 100.0  11.8  20.5  42.4  51.6  37.3  44.2  20.0   0.0   0.0  20.0  42.9  42.5
20087 >6    0.0   0.0   0.0   5.9   5.1   7.6  11.6  14.5  29.5  50.0   0.0   0.0  20.0  15.1  15.2
20292 0     0.0   0.0   0.0   8.7  10.3   3.4   1.9   1.9   2.1   4.8   4.0   6.3   4.4   2.4   2.5
20292 1-3  50.0   0.0   0.0  17.4  28.7  18.9  12.2  15.1  17.0  39.7  36.0  12.5  32.7  15.2  15.7
20292 4-6   0.0   0.0   0.0   4.4  18.4  24.9  25.5  29.3  21.2   7.9   4.0   0.0   5.3  25.8  25.2
20292 >6    0.0   0.0   0.0   4.4   9.2  17.9  25.3  21.1  21.4   3.2   0.0   0.0   1.8  21.7  21.1
20476 0     0.0  22.2   0.0   4.6   9.6   6.7   5.5   4.6   6.5   7.6   0.0  20.0   9.5   5.6   5.7
20476 1-3  50.0  33.3  66.7  54.6  61.5  36.1  39.2  30.0  22.9  22.6  57.1  53.3  35.8  34.3  34.4
20476 4-6   0.0   0.0  33.3  13.6  24.1  38.2  40.3  37.8  35.3  32.1  42.9  20.0  27.4  38.0  37.8
20476 >6   50.0  44.4   0.0  22.7   4.8  19.1  15.0  27.6  35.3  28.3   0.0   6.7  22.1  22.1  22.1
20667 0    36.7  10.9  21.3   9.2   8.5   1.6   1.5   2.3   1.6   3.9  24.8  11.9  14.8   2.7   4.6
20667 1-3  46.7  60.9  61.3  51.1  43.9  29.9  31.4  27.3  30.6  26.3  52.3  61.4  45.8  32.0  34.3
20667 4-6  13.3  18.5  14.0  33.2  31.5  48.1  44.2  45.9  43.6  32.1  14.7  24.8  22.4  43.8  40.3
20667 >6    2.2   8.7   2.7   5.2  12.7  17.7  21.2  22.2  22.8  36.5   4.6   1.0  15.7  19.4  18.8
20674 0     8.0  18.5   5.9   7.1   0.0   1.4   1.2   1.7   1.8   1.8   7.7   5.0   4.5   1.5   1.7
20674 1-3  16.0  22.2  26.5  31.6  27.7  19.2  18.8  19.6  19.0  14.8  47.7  40.0  22.8  19.6  19.9
20674 4-6  28.0  14.8  23.5  30.6  39.0  47.7  45.6  43.9  40.1  26.3  23.1  27.5  25.2  44.5  43.0
20674 >6   48.0  44.4  41.2  30.6  32.8  30.1  33.2  34.1  38.6  50.0  21.5  25.0  42.9  33.3  34.1
20744 0    13.5   0.0  12.8   6.7  11.3  11.6  13.5  20.6  15.0   7.2   8.3   7.4   8.6  14.1  13.3
20744 1-3  27.0  33.3  46.2  22.5  36.6  41.6  44.5  43.2  36.4  14.5  20.0  22.2  24.3  40.6  38.4
20744 4-6  35.1  19.1  23.1  29.2  34.4  31.1  31.8  26.1  34.1  36.1  40.0  48.2  34.8  30.9  31.5
20744 >6   24.3  47.6  15.4  41.6  17.7  15.0  10.3   9.9  14.6  42.2  31.7  22.2  31.8  14.2  16.5
20891 0     4.5   7.0   3.5  11.1   4.4   2.5   0.0   3.9   6.3   3.0   9.2   8.2   6.1   4.7   5.9
20891 1-3  35.7  45.4  39.5  27.8  30.4  34.6  20.0  37.2  35.2  30.3   7.6  34.6  37.7  33.8  37.2
20891 4-6  17.0  18.4  27.5   5.6  23.9  38.3  10.0  20.5  18.9   3.0   0.8   9.7  16.2  22.6  17.1
20891 >6    0.0   0.5   0.4   0.0   0.0   2.5   5.0   0.0   0.6   0.0   0.0   0.0   0.2   1.0   0.3
20982 0    16.7  28.0  28.6  50.0  27.8  21.1  29.0  35.9  20.7  35.4  17.9  45.1  31.5  27.8  28.9
20982 1-3  56.7  68.0  64.3  35.7  58.3  67.1  60.5  51.6  67.4  56.9  75.0  41.2  57.3  60.0  59.2
20982 4-6  13.3   4.0   7.1  14.3  13.9  11.8  10.5  12.5  10.9   7.7   7.1   9.8   8.5  11.8  10.9
20982 >6   13.3   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.1   0.0   0.0   3.9   2.8   0.4   1.1
21432 0    50.0  71.4   0.0  11.4   9.9   4.1   3.8   4.6   5.0  25.8  20.0 100.0  32.5   4.7   6.4
21432 1-3  37.5  21.4  62.5  25.7  42.9  28.4  36.3  29.5  29.5  51.5  40.0   0.0  44.7  32.6  33.3
21432 4-6   0.0   7.1  12.5   5.7  25.3  37.5  34.1  30.2  24.5   6.1   0.0   0.0   5.3  31.5  29.9
21432 >6    0.0   0.0   0.0   2.9   3.3  17.7  12.6  15.8  18.0   3.0   0.0   0.0   1.8  14.1  13.3
21802 0     0.0  42.9        14.6  18.2  25.7   0.0  20.9  21.2  46.0  33.3   0.0  37.7  19.6  22.6
21802 1-3   0.0   0.0        14.6  25.0  22.9  20.0  28.6  18.8  18.9  11.1  33.3  14.8  22.6  21.3
21802 4-6   0.0   0.0         2.4   0.0   5.7  30.0  11.0   0.0   2.7  11.1  33.3   4.9   5.2   5.2
21802 >6    0.0   0.0         0.0   0.0   5.7   0.0   2.2   0.0   0.0   0.0   0.0   0.0   1.3   1.1
21908 0    36.4  15.4   0.0   0.0  60.0  40.0  42.4  38.8  32.4  29.2   0.0  50.0  29.3  37.3  36.0
21908 1-3  63.6  61.5   0.0   0.0  40.0  60.0  30.3  36.4  43.1  37.5   0.0   0.0  41.4  38.3  38.8
21908 4-6   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.6   0.0   0.0   0.0   0.0   0.0   0.3   0.3
21908 >6    0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
21921 0    50.0  47.5   0.0 100.0 100.0              25.0  22.2  44.4  32.1  58.2  49.6  31.0  48.1
21921 1-3  25.9  11.3   0.0   0.0   0.0              50.0  55.6  48.2   7.1  11.0  18.5  48.3  20.9
21921 4-6   0.0   0.0   0.0   0.0   0.0               0.0   0.0   3.7   0.0   2.2   0.9   0.0   0.8
21921 >6    0.0   0.0   0.0   0.0   0.0               0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
21931 0     0.0   0.0   0.0  11.1  11.4   4.6   3.1  10.7  10.9  21.3  13.3   0.0  15.1   9.1   9.8
21931 1-3  20.0   0.0  42.9  33.3  41.3  26.9  28.9  38.4  34.7  41.3  66.7  75.0  40.3  35.2  35.8
21931 4-6   0.0   0.0   0.0   0.0   6.5  25.0  27.3  12.4   5.7   1.3   0.0   0.0   0.8  12.9  11.5
21931 >6    0.0   0.0   0.0   0.0   0.0   1.9   1.6   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.4
21946 0    18.0   9.7  27.5   8.1   2.7   1.9   2.2   1.6   6.6  10.2  12.1  28.9  14.5   3.5   6.0
21946 1-3  40.0  29.0  40.0  62.1  28.1   9.4  11.0  22.0  39.0  45.7  41.4   9.6  39.3  25.6  28.7
21946 4-6  12.0   0.0  15.0  14.9  34.9  41.4  37.9  31.0  20.0   3.3  17.2   1.9   7.4  31.0  25.6
21946 >6    0.0   0.0   0.0   0.0   3.6  15.5  15.9   6.1   1.9   0.0   1.0   0.0   0.2   7.2   5.6
21982 0    16.1  32.1  31.7  20.9   7.8   5.8   6.2   5.7   6.9   5.2   8.1  33.9  20.1   6.4   7.4
21982 1-3  39.3  43.4  38.3  31.3  41.7  43.1  39.9  36.7  37.8  28.1  46.0  44.6  38.3  39.1  39.1
21982 4-6  16.1   7.6   6.7   6.0  10.7  19.5  19.1  21.0  14.7  13.5  13.5   5.4  10.6  18.3  17.7
21982 >6    1.8   0.0   0.0   1.5   1.9   1.2   4.5   2.8   2.4   3.1   0.0   0.0   1.1   2.9   2.7
22113 0     8.2  29.1  13.5  23.1  11.1  21.4  20.9  18.9  13.9  14.6  22.7  19.2  17.8  17.4  17.7
22113 1-3  63.3  55.9  68.9  66.7  63.0  53.6  60.5  67.6  69.3  66.4  64.5  56.9  62.8  66.0  63.8
22113 4-6  25.2  15.0  16.9  10.3  22.2  17.9  16.3  11.7  16.8  18.3  11.6  23.3  18.2  15.1  17.3
22113 >6    3.4   0.0   0.7   0.0   3.7   7.1   2.3   1.8   0.0   0.7   1.2   0.7   1.1   1.6   1.3
22165 0     7.8   7.1   6.4   4.0   1.7   3.4   2.8   4.4   2.0   2.6   2.0   4.7   4.8   3.1   3.3
22165 1-3  22.1  22.4  29.1  25.5  25.0  23.0  24.4  24.5  21.0  15.3  26.0  12.5  21.6  23.9  23.6
22165 4-6  39.0  42.4  41.1  33.4  36.3  33.6  35.0  34.0  38.5  35.0  28.0  32.8  36.5  35.0  35.2
22165 >6   31.2  28.2  23.4  37.1  36.9  40.0  37.8  37.1  38.5  47.1  44.0  50.0  37.0  38.0  37.9
22217 0    48.7  58.6  32.4  31.6  14.3  27.5  26.3  30.5  33.9  41.0  46.4  49.1  44.8  28.8  34.8
